Rk,Year,Date,Region,Round,School,PTS,Opponent,PTS,OT,Diff,Location
57,2017,18-Mar-17,Midwest,Second Round,5 Iowa State,76,4 Purdue,80,,-4,"Milwaukee, WI"
58,2017,18-Mar-17,West,Second Round,1 Gonzaga,79,8 Northwestern,73,,6,"Salt Lake City, UT"
59,2017,18-Mar-17,West,Second Round,3 Florida State,66,11 Xavier,91,,-25,"Orlando, FL"
60,2017,18-Mar-17,East,Second Round,4 Florida,65,5 Virginia,39,,26,"Orlando, FL"
61,2017,18-Mar-17,South,Second Round,4 Butler,74,12 Middle Tennessee,65,,9,"Milwaukee, WI"
62,2017,18-Mar-17,West,Second Round,2 Arizona,69,7 Saint Mary's (CA),60,,9,"Salt Lake City, UT"
63,2017,17-Mar-17,South,First Round,10 Wichita State,64,7 Dayton,58,,6,"Indianapolis, IN"
64,2017,17-Mar-17,South,First Round,3 UCLA,97,14 Kent State,80,,17,"Sacramento, CA"
65,2017,17-Mar-17,East,First Round,15 Troy,65,2 Duke,87,,-22,"Greenville, SC"
66,2017,17-Mar-17,South,First Round,16 Texas Southern,64,1 North Carolina,103,,-39,"Greenville, SC"
67,2017,17-Mar-17,East,First Round,6 Southern Methodist,65,11 Southern California,66,,-1,"Tulsa, OK"
68,2017,17-Mar-17,East,First Round,11 Southern California,66,6 Southern Methodist,65,,1,"Tulsa, OK"
69,2017,17-Mar-17,East,First Round,7 South Carolina,93,10 Marquette,73,,20,"Greenville, SC"
70,2017,17-Mar-17,South,First Round,9 Seton Hall,71,8 Arkansas,77,,-6,"Greenville, SC"
71,2017,17-Mar-17,Midwest,First Round,11 Rhode Island,84,6 Creighton,72,,12,"Sacramento, CA"
72,2017,17-Mar-17,Midwest,First Round,3 Oregon,93,14 Iona,77,,16,"Sacramento, CA"
73,2017,17-Mar-17,Midwest,First Round,10 Oklahoma State,91,7 Michigan,92,,-1,"Indianapolis, IN"
74,2017,17-Mar-17,South,First Round,15 Northern Kentucky,70,2 Kentucky,79,,-9,"Indianapolis, IN"
75,2017,17-Mar-17,South,First Round,1 North Carolina,103,16 Texas Southern,64,,39,"Greenville, SC"
76,2017,17-Mar-17,East,First Round,14 New Mexico State,73,3 Baylor,91,,-18,"Tulsa, OK"
77,2017,17-Mar-17,Midwest,First Round,9 Michigan State,78,8 Miami (FL),58,,20,"Tulsa, OK"
