Rk,Year,Date,Region,Round,School,PTS,Opponent,PTS,OT,Diff,Location
342,2015,20-Mar-15,West,Second Round,9 Oklahoma State,73,8 Oregon,79,,-6,"Omaha, NE"
343,2015,20-Mar-15,East,Second Round,3 Oklahoma,69,14 Albany (NY),60,,9,"Columbus, OH"
344,2015,20-Mar-15,East,Second Round,5 Northern Iowa,71,12 Wyoming,54,,17,"Seattle, WA"
345,2015,20-Mar-15,South,Second Round,15 North Dakota State,76,2 Gonzaga,86,,-10,"Seattle, WA"
346,2015,20-Mar-15,Midwest,Second Round,15 New Mexico State,56,2 Kansas,75,,-19,"Omaha, NE"
347,2015,20-Mar-15,East,Second Round,7 Michigan State,70,10 Georgia,63,,7,"Charlotte, NC"
348,2015,20-Mar-15,Midwest,Second Round,4 Maryland,65,13 Valparaiso,62,,3,"Columbus, OH"
349,2015,20-Mar-15,East,Second Round,4 Louisville,57,13 California-Irvine,55,,2,"Seattle, WA"
350,2015,20-Mar-15,Midwest,Second Round,2 Kansas,75,15 New Mexico State,56,,19,"Omaha, NE"
351,2015,20-Mar-15,South,Second Round,7 Iowa,83,10 Davidson,52,,31,"Seattle, WA"
352,2015,20-Mar-15,Midwest,Second Round,10 Indiana,76,7 Wichita State,81,,-5,"Omaha, NE"
353,2015,20-Mar-15,South,Second Round,2 Gonzaga,86,15 North Dakota State,76,,10,"Seattle, WA"
354,2015,20-Mar-15,East,Second Round,10 Georgia,63,7 Michigan State,70,,-7,"Charlotte, NC"
355,2015,20-Mar-15,South,Second Round,1 Duke,85,16 Robert Morris,56,,29,"Charlotte, NC"
356,2015,20-Mar-15,East,Second Round,11 Dayton,66,6 Providence,53,,13,"Columbus, OH"
357,2015,20-Mar-15,South,Second Round,10 Davidson,52,7 Iowa,83,,-31,"Seattle, WA"
358,2015,20-Mar-15,West,Second Round,16 Coastal Carolina,72,1 Wisconsin,86,,-14,"Omaha, NE"
359,2015,20-Mar-15,East,Second Round,13 California-Irvine,55,4 Louisville,57,,-2,"Seattle, WA"
360,2015,20-Mar-15,Midwest,Second Round,12 Buffalo,62,5 West Virginia,68,,-6,"Columbus, OH"
361,2015,20-Mar-15,East,Second Round,15 Belmont,67,2 Virginia,79,,-12,"Charlotte, NC"
362,2015,20-Mar-15,East,Second Round,14 Albany (NY),60,3 Oklahoma,69,,-9,"Columbus, OH"
363,2015,19-Mar-15,West,Second Round,6 Xavier,76,11 Mississippi,57,,19,"Jacksonville, FL"
364,2015,19-Mar-15,West,Second Round,12 Wofford,53,5 Arkansas,56,,-3,"Jacksonville, FL"
365,2015,19-Mar-15,West,Second Round,7 Virginia Commonwealth,72,10 Ohio State,75,OT,-3,"Portland, OR"
366,2015,19-Mar-15,East,Second Round,1 Villanova,93,16 Lafayette,52,,41,"Pittsburgh, PA"
367,2015,19-Mar-15,South,Second Round,5 Utah,57,12 Stephen F. Austin,50,,7,"Portland, OR"
368,2015,19-Mar-15,South,Second Round,11 UCLA,60,6 Southern Methodist,59,,1,"Louisville, KY"
369,2015,19-Mar-15,West,Second Round,15 Texas Southern,72,2 Arizona,93,,-21,"Portland, OR"
370,2015,19-Mar-15,Midwest,Second Round,11 Texas,48,6 Butler,56,,-8,"Pittsburgh, PA"
371,2015,19-Mar-15,South,Second Round,12 Stephen F. Austin,50,5 Utah,57,,-7,"Portland, OR"
372,2015,19-Mar-15,South,Second Round,6 Southern Methodist,59,11 UCLA,60,,-1,"Louisville, KY"
373,2015,19-Mar-15,Midwest,Second Round,9 Purdue,65,8 Cincinnati,66,OT,-1,"Louisville, KY"
374,2015,19-Mar-15,West,Second Round,10 Ohio State,75,7 Virginia Commonwealth,72,OT,3,"Portland, OR"
375,2015,19-Mar-15,Midwest,Second Round,3 Notre Dame,69,14 Northeastern,65,,4,"Pittsburgh, PA"
376,2015,19-Mar-15,Midwest,Second Round,14 Northeastern,65,3 Notre Dame,69,,-4,"Pittsburgh, PA"
377,2015,19-Mar-15,East,Second Round,8 North Carolina State,66,9 Louisiana State,65,,1,"Pittsburgh, PA"
378,2015,19-Mar-15,West,Second Round,4 North Carolina,67,13 Harvard,65,,2,"Jacksonville, FL"
379,2015,19-Mar-15,West,Second Round,11 Mississippi,57,6 Xavier,76,,-19,"Jacksonville, FL"
380,2015,19-Mar-15,East,Second Round,9 Louisiana State,65,8 North Carolina State,66,,-1,"Pittsburgh, PA"
381,2015,19-Mar-15,East,Second Round,16 Lafayette,52,1 Villanova,93,,-41,"Pittsburgh, PA"
382,2015,19-Mar-15,Midwest,Second Round,1 Kentucky,79,16 Hampton,56,,23,"Louisville, KY"
383,2015,19-Mar-15,South,Second Round,3 Iowa State,59,14 Alabama-Birmingham,60,,-1,"Louisville, KY"
384,2015,19-Mar-15,West,Second Round,13 Harvard,65,4 North Carolina,67,,-2,"Jacksonville, FL"
385,2015,19-Mar-15,Midwest,Second Round,16 Hampton,56,1 Kentucky,79,,-23,"Louisville, KY"
386,2015,19-Mar-15,West,Second Round,14 Georgia State,57,3 Baylor,56,,1,"Jacksonville, FL"
387,2015,19-Mar-15,South,Second Round,4 Georgetown,84,13 Eastern Washington,74,,10,"Portland, OR"
388,2015,19-Mar-15,South,Second Round,13 Eastern Washington,74,4 Georgetown,84,,-10,"Portland, OR"
389,2015,19-Mar-15,Midwest,Second Round,8 Cincinnati,66,9 Purdue,65,OT,1,"Louisville, KY"
390,2015,19-Mar-15,Midwest,Second Round,6 Butler,56,11 Texas,48,,8,"Pittsburgh, PA"
391,2015,19-Mar-15,West,Second Round,3 Baylor,56,14 Georgia State,57,,-1,"Jacksonville, FL"
392,2015,19-Mar-15,West,Second Round,5 Arkansas,56,12 Wofford,53,,3,"Jacksonville, FL"
393,2015,19-Mar-15,West,Second Round,2 Arizona,93,15 Texas Southern,72,,21,"Portland, OR"
394,2015,19-Mar-15,South,Second Round,14 Alabama-Birmingham,60,3 Iowa State,59,,1,"Louisville, KY"
395,2015,18-Mar-15,South,First Round,16 Robert Morris,81,16 North Florida,77,,4,"Dayton, OH"
396,2015,18-Mar-15,South,First Round,16 North Florida,77,16 Robert Morris,81,,-4,"Dayton, OH"
397,2015,18-Mar-15,East,First Round,11 Dayton,56,11 Boise State,55,,1,"Dayton, OH"
398,2015,18-Mar-15,East,First Round,11 Boise State,55,11 Dayton,56,,-1,"Dayton, OH"
399,2015,17-Mar-15,West,First Round,11 Mississippi,94,11 Brigham Young,90,,4,"Dayton, OH"
400,2015,17-Mar-15,Midwest,First Round,16 Manhattan,64,16 Hampton,74,,-10,"Dayton, OH"
401,2015,17-Mar-15,Midwest,First Round,16 Hampton,74,16 Manhattan,64,,10,"Dayton, OH"
402,2015,17-Mar-15,West,First Round,11 Brigham Young,90,11 Mississippi,94,,-4,"Dayton, OH"
403,2014,7-Apr-14,National,National Final,8 Kentucky,54,7 Connecticut,60,,-6,"Arlington, TX"
404,2014,7-Apr-14,National,National Final,7 Connecticut,60,8 Kentucky,54,,6,"Arlington, TX"
405,2014,5-Apr-14,National,National Semifinal,2 Wisconsin,73,8 Kentucky,74,,-1,"Arlington, TX"
406,2014,5-Apr-14,National,National Semifinal,8 Kentucky,74,2 Wisconsin,73,,1,"Arlington, TX"
407,2014,5-Apr-14,National,National Semifinal,1 Florida,53,7 Connecticut,63,,-10,"Arlington, TX"
408,2014,5-Apr-14,National,National Semifinal,7 Connecticut,63,1 Florida,53,,10,"Arlington, TX"
409,2014,30-Mar-14,East,Regional Final,4 Michigan State,54,7 Connecticut,60,,-6,"New York, NY"
410,2014,30-Mar-14,Midwest,Regional Final,2 Michigan,72,8 Kentucky,75,,-3,"Indianapolis, IN"
411,2014,30-Mar-14,Midwest,Regional Final,8 Kentucky,75,2 Michigan,72,,3,"Indianapolis, IN"
412,2014,30-Mar-14,East,Regional Final,7 Connecticut,60,4 Michigan State,54,,6,"New York, NY"
413,2014,29-Mar-14,West,Regional Final,2 Wisconsin,64,1 Arizona,63,OT,1,"Anaheim, CA"
414,2014,29-Mar-14,South,Regional Final,1 Florida,62,11 Dayton,52,,10,"Memphis, TN"
415,2014,29-Mar-14,South,Regional Final,11 Dayton,52,1 Florida,62,,-10,"Memphis, TN"
416,2014,29-Mar-14,West,Regional Final,1 Arizona,63,2 Wisconsin,64,OT,-1,"Anaheim, CA"
417,2014,28-Mar-14,East,Regional Semifinal,1 Virginia,59,4 Michigan State,61,,-2,"New York, NY"
418,2014,28-Mar-14,Midwest,Regional Semifinal,11 Tennessee,71,2 Michigan,73,,-2,"Indianapolis, IN"
419,2014,28-Mar-14,East,Regional Semifinal,4 Michigan State,61,1 Virginia,59,,2,"New York, NY"
420,2014,28-Mar-14,Midwest,Regional Semifinal,2 Michigan,73,11 Tennessee,71,,2,"Indianapolis, IN"
421,2014,28-Mar-14,Midwest,Regional Semifinal,4 Louisville,69,8 Kentucky,74,,-5,"Indianapolis, IN"
422,2014,28-Mar-14,Midwest,Regional Semifinal,8 Kentucky,74,4 Louisville,69,,5,"Indianapolis, IN"
423,2014,28-Mar-14,East,Regional Semifinal,3 Iowa State,76,7 Connecticut,81,,-5,"New York, NY"
424,2014,28-Mar-14,East,Regional Semifinal,7 Connecticut,81,3 Iowa State,76,,5,"New York, NY"
425,2014,27-Mar-14,West,Regional Semifinal,2 Wisconsin,69,6 Baylor,52,,17,"Anaheim, CA"
426,2014,27-Mar-14,South,Regional Semifinal,4 UCLA,68,1 Florida,79,,-11,"Memphis, TN"
427,2014,27-Mar-14,South,Regional Semifinal,10 Stanford,72,11 Dayton,82,,-10,"Memphis, TN"
428,2014,27-Mar-14,West,Regional Semifinal,4 San Diego State,64,1 Arizona,70,,-6,"Anaheim, CA"
429,2014,27-Mar-14,South,Regional Semifinal,1 Florida,79,4 UCLA,68,,11,"Memphis, TN"
430,2014,27-Mar-14,South,Regional Semifinal,11 Dayton,82,10 Stanford,72,,10,"Memphis, TN"
431,2014,27-Mar-14,West,Regional Semifinal,6 Baylor,52,2 Wisconsin,69,,-17,"Anaheim, CA"
432,2014,27-Mar-14,West,Regional Semifinal,1 Arizona,70,4 San Diego State,64,,6,"Anaheim, CA"
433,2014,23-Mar-14,Midwest,Third Round,1 Wichita State,76,8 Kentucky,78,,-2,"St. Louis, MO"
434,2014,23-Mar-14,East,Third Round,1 Virginia,78,8 Memphis,60,,18,"Raleigh, NC"
435,2014,23-Mar-14,South,Third Round,4 UCLA,77,12 Stephen F. Austin,60,,17,"San Diego, CA"
436,2014,23-Mar-14,Midwest,Third Round,11 Tennessee,83,14 Mercer,63,,20,"Raleigh, NC"
437,2014,23-Mar-14,South,Third Round,12 Stephen F. Austin,60,4 UCLA,77,,-17,"San Diego, CA"
438,2014,23-Mar-14,South,Third Round,10 Stanford,60,2 Kansas,57,,3,"St. Louis, MO"
439,2014,23-Mar-14,East,Third Round,6 North Carolina,83,3 Iowa State,85,,-2,"San Antonio, TX"
440,2014,23-Mar-14,Midwest,Third Round,14 Mercer,63,11 Tennessee,83,,-20,"Raleigh, NC"
441,2014,23-Mar-14,East,Third Round,8 Memphis,60,1 Virginia,78,,-18,"Raleigh, NC"
442,2014,23-Mar-14,Midwest,Third Round,8 Kentucky,78,1 Wichita State,76,,2,"St. Louis, MO"
443,2014,23-Mar-14,South,Third Round,2 Kansas,57,10 Stanford,60,,-3,"St. Louis, MO"
444,2014,23-Mar-14,East,Third Round,3 Iowa State,85,6 North Carolina,83,,2,"San Antonio, TX"
445,2014,23-Mar-14,West,Third Round,8 Gonzaga,61,1 Arizona,84,,-23,"San Diego, CA"
446,2014,23-Mar-14,West,Third Round,3 Creighton,55,6 Baylor,85,,-30,"San Antonio, TX"
447,2014,23-Mar-14,West,Third Round,6 Baylor,85,3 Creighton,55,,30,"San Antonio, TX"
448,2014,23-Mar-14,West,Third Round,1 Arizona,84,8 Gonzaga,61,,23,"San Diego, CA"
449,2014,22-Mar-14,West,Third Round,2 Wisconsin,85,7 Oregon,77,,8,"Milwaukee, WI"
450,2014,22-Mar-14,East,Third Round,2 Villanova,65,7 Connecticut,77,,-12,"Buffalo, NY"
451,2014,22-Mar-14,Midwest,Third Round,7 Texas,65,2 Michigan,79,,-14,"Milwaukee, WI"
452,2014,22-Mar-14,South,Third Round,3 Syracuse,53,11 Dayton,55,,-2,"Buffalo, NY"
453,2014,22-Mar-14,West,Third Round,4 San Diego State,63,12 North Dakota State,44,,19,"Spokane, WA"
454,2014,22-Mar-14,Midwest,Third Round,5 Saint Louis,51,4 Louisville,66,,-15,"Orlando, FL"
455,2014,22-Mar-14,South,Third Round,9 Pittsburgh,45,1 Florida,61,,-16,"Orlando, FL"
456,2014,22-Mar-14,West,Third Round,7 Oregon,77,2 Wisconsin,85,,-8,"Milwaukee, WI"
457,2014,22-Mar-14,West,Third Round,12 North Dakota State,44,4 San Diego State,63,,-19,"Spokane, WA"
458,2014,22-Mar-14,East,Third Round,4 Michigan State,80,12 Harvard,73,,7,"Spokane, WA"
459,2014,22-Mar-14,Midwest,Third Round,2 Michigan,79,7 Texas,65,,14,"Milwaukee, WI"
460,2014,22-Mar-14,Midwest,Third Round,4 Louisville,66,5 Saint Louis,51,,15,"Orlando, FL"
461,2014,22-Mar-14,East,Third Round,12 Harvard,73,4 Michigan State,80,,-7,"Spokane, WA"
462,2014,22-Mar-14,South,Third Round,1 Florida,61,9 Pittsburgh,45,,16,"Orlando, FL"
463,2014,22-Mar-14,South,Third Round,11 Dayton,55,3 Syracuse,53,,2,"Buffalo, NY"
464,2014,22-Mar-14,East,Third Round,7 Connecticut,77,2 Villanova,65,,12,"Buffalo, NY"
465,2014,21-Mar-14,Midwest,Second Round,1 Wichita State,64,16 Cal Poly,37,,27,"St. Louis, MO"
466,2014,21-Mar-14,West,Second Round,16 Weber State,59,1 Arizona,68,,-9,"San Diego, CA"
467,2014,21-Mar-14,South,Second Round,5 Virginia Commonwealth,75,12 Stephen F. Austin,77,OT,-2,"San Diego, CA"
468,2014,21-Mar-14,East,Second Round,1 Virginia,70,16 Coastal Carolina,59,,11,"Raleigh, NC"
469,2014,21-Mar-14,South,Second Round,4 UCLA,76,13 Tulsa,59,,17,"San Diego, CA"
470,2014,21-Mar-14,South,Second Round,13 Tulsa,59,4 UCLA,76,,-17,"San Diego, CA"
471,2014,21-Mar-14,Midwest,Second Round,11 Tennessee,86,6 Massachusetts,67,,19,"Raleigh, NC"
472,2014,21-Mar-14,South,Second Round,12 Stephen F. Austin,77,5 Virginia Commonwealth,75,OT,2,"San Diego, CA"
473,2014,21-Mar-14,South,Second Round,10 Stanford,58,7 New Mexico,53,,5,"St. Louis, MO"
474,2014,21-Mar-14,East,Second Round,11 Providence,77,6 North Carolina,79,,-2,"San Antonio, TX"
475,2014,21-Mar-14,West,Second Round,9 Oklahoma State,77,8 Gonzaga,85,,-8,"San Diego, CA"
476,2014,21-Mar-14,East,Second Round,14 North Carolina Central,75,3 Iowa State,93,,-18,"San Antonio, TX"
477,2014,21-Mar-14,East,Second Round,6 North Carolina,79,11 Providence,77,,2,"San Antonio, TX"
478,2014,21-Mar-14,South,Second Round,7 New Mexico,53,10 Stanford,58,,-5,"St. Louis, MO"
479,2014,21-Mar-14,West,Second Round,11 Nebraska,60,6 Baylor,74,,-14,"San Antonio, TX"
480,2014,21-Mar-14,Midwest,Second Round,14 Mercer,78,3 Duke,71,,7,"Raleigh, NC"
481,2014,21-Mar-14,East,Second Round,8 Memphis,71,9 George Washington,66,,5,"Raleigh, NC"
482,2014,21-Mar-14,Midwest,Second Round,6 Massachusetts,67,11 Tennessee,86,,-19,"Raleigh, NC"
483,2014,21-Mar-14,West,Second Round,14 Louisiana,66,3 Creighton,76,,-10,"San Antonio, TX"
484,2014,21-Mar-14,Midwest,Second Round,8 Kentucky,56,9 Kansas State,49,,7,"St. Louis, MO"
485,2014,21-Mar-14,Midwest,Second Round,9 Kansas State,49,8 Kentucky,56,,-7,"St. Louis, MO"
486,2014,21-Mar-14,South,Second Round,2 Kansas,80,15 Eastern Kentucky,69,,11,"St. Louis, MO"
487,2014,21-Mar-14,East,Second Round,3 Iowa State,93,14 North Carolina Central,75,,18,"San Antonio, TX"
488,2014,21-Mar-14,West,Second Round,8 Gonzaga,85,9 Oklahoma State,77,,8,"San Diego, CA"
489,2014,21-Mar-14,East,Second Round,9 George Washington,66,8 Memphis,71,,-5,"Raleigh, NC"
490,2014,21-Mar-14,South,Second Round,15 Eastern Kentucky,69,2 Kansas,80,,-11,"St. Louis, MO"
491,2014,21-Mar-14,Midwest,Second Round,3 Duke,71,14 Mercer,78,,-7,"Raleigh, NC"
492,2014,21-Mar-14,West,Second Round,3 Creighton,76,14 Louisiana,66,,10,"San Antonio, TX"
493,2014,21-Mar-14,East,Second Round,16 Coastal Carolina,59,1 Virginia,70,,-11,"Raleigh, NC"
494,2014,21-Mar-14,Midwest,Second Round,16 Cal Poly,37,1 Wichita State,64,,-27,"St. Louis, MO"
495,2014,21-Mar-14,West,Second Round,6 Baylor,74,11 Nebraska,60,,14,"San Antonio, TX"
496,2014,21-Mar-14,West,Second Round,1 Arizona,68,16 Weber State,59,,9,"San Diego, CA"
497,2014,20-Mar-14,Midwest,Second Round,15 Wofford,40,2 Michigan,57,,-17,"Milwaukee, WI"
498,2014,20-Mar-14,West,Second Round,2 Wisconsin,75,15 American,35,,40,"Milwaukee, WI"
499,2014,20-Mar-14,South,Second Round,14 Western Michigan,53,3 Syracuse,77,,-24,"Buffalo, NY"
500,2014,20-Mar-14,East,Second Round,2 Villanova,73,15 Milwaukee,53,,20,"Buffalo, NY"
501,2014,20-Mar-14,Midwest,Second Round,7 Texas,87,10 Arizona State,85,,2,"Milwaukee, WI"
502,2014,20-Mar-14,South,Second Round,3 Syracuse,77,14 Western Michigan,53,,24,"Buffalo, NY"
503,2014,20-Mar-14,West,Second Round,4 San Diego State,73,13 New Mexico State,69,OT,4,"Spokane, WA"
504,2014,20-Mar-14,Midwest,Second Round,5 Saint Louis,83,12 North Carolina State,80,OT,3,"Orlando, FL"
505,2014,20-Mar-14,East,Second Round,10 Saint Joseph's,81,7 Connecticut,89,OT,-8,"Buffalo, NY"
506,2014,20-Mar-14,South,Second Round,9 Pittsburgh,77,8 Colorado,48,,29,"Orlando, FL"
507,2014,20-Mar-14,West,Second Round,7 Oregon,87,10 Brigham Young,68,,19,"Milwaukee, WI"
508,2014,20-Mar-14,West,Second Round,5 Oklahoma,75,12 North Dakota State,80,OT,-5,"Spokane, WA"
509,2014,20-Mar-14,South,Second Round,6 Ohio State,59,11 Dayton,60,,-1,"Buffalo, NY"
510,2014,20-Mar-14,West,Second Round,12 North Dakota State,80,5 Oklahoma,75,OT,5,"Spokane, WA"
511,2014,20-Mar-14,Midwest,Second Round,12 North Carolina State,80,5 Saint Louis,83,OT,-3,"Orlando, FL"
512,2014,20-Mar-14,West,Second Round,13 New Mexico State,69,4 San Diego State,73,OT,-4,"Spokane, WA"
513,2014,20-Mar-14,East,Second Round,15 Milwaukee,53,2 Villanova,73,,-20,"Buffalo, NY"
514,2014,20-Mar-14,East,Second Round,4 Michigan State,93,13 Delaware,78,,15,"Spokane, WA"
515,2014,20-Mar-14,Midwest,Second Round,2 Michigan,57,15 Wofford,40,,17,"Milwaukee, WI"
516,2014,20-Mar-14,Midwest,Second Round,13 Manhattan,64,4 Louisville,71,,-7,"Orlando, FL"
517,2014,20-Mar-14,Midwest,Second Round,4 Louisville,71,13 Manhattan,64,,7,"Orlando, FL"
518,2014,20-Mar-14,East,Second Round,12 Harvard,61,5 Cincinnati,57,,4,"Spokane, WA"
519,2014,20-Mar-14,South,Second Round,1 Florida,67,16 Albany (NY),55,,12,"Orlando, FL"
520,2014,20-Mar-14,East,Second Round,13 Delaware,78,4 Michigan State,93,,-15,"Spokane, WA"
521,2014,20-Mar-14,South,Second Round,11 Dayton,60,6 Ohio State,59,,1,"Buffalo, NY"
522,2014,20-Mar-14,East,Second Round,7 Connecticut,89,10 Saint Joseph's,81,OT,8,"Buffalo, NY"
523,2014,20-Mar-14,South,Second Round,8 Colorado,48,9 Pittsburgh,77,,-29,"Orlando, FL"
524,2014,20-Mar-14,East,Second Round,5 Cincinnati,57,12 Harvard,61,,-4,"Spokane, WA"
525,2014,20-Mar-14,West,Second Round,10 Brigham Young,68,7 Oregon,87,,-19,"Milwaukee, WI"
526,2014,20-Mar-14,Midwest,Second Round,10 Arizona State,85,7 Texas,87,,-2,"Milwaukee, WI"
527,2014,20-Mar-14,West,Second Round,15 American,35,2 Wisconsin,75,,-40,"Milwaukee, WI"
528,2014,20-Mar-14,South,Second Round,16 Albany (NY),55,1 Florida,67,,-12,"Orlando, FL"
529,2014,19-Mar-14,Midwest,First Round,16 Texas Southern,69,16 Cal Poly,81,,-12,"Dayton, OH"
530,2014,19-Mar-14,Midwest,First Round,11 Tennessee,78,11 Iowa,65,OT,13,"Dayton, OH"
531,2014,19-Mar-14,Midwest,First Round,11 Iowa,65,11 Tennessee,78,OT,-13,"Dayton, OH"
532,2014,19-Mar-14,Midwest,First Round,16 Cal Poly,81,16 Texas Southern,69,,12,"Dayton, OH"
533,2014,18-Mar-14,Midwest,First Round,12 Xavier,59,12 North Carolina State,74,,-15,"Dayton, OH"
534,2014,18-Mar-14,Midwest,First Round,12 North Carolina State,74,12 Xavier,59,,15,"Dayton, OH"
535,2014,18-Mar-14,South,First Round,16 Mount St. Mary's,64,16 Albany (NY),71,,-7,"Dayton, OH"
536,2014,18-Mar-14,South,First Round,16 Albany (NY),71,16 Mount St. Mary's,64,,7,"Dayton, OH"
537,2013,8-Apr-13,National,National Final,4 Michigan,76,1 Louisville,82,,-6,"Atlanta, GA"
538,2013,8-Apr-13,National,National Final,1 Louisville,82,4 Michigan,76,,6,"Atlanta, GA"
539,2013,6-Apr-13,National,National Semifinal,9 Wichita State,68,1 Louisville,72,,-4,"Atlanta, GA"
540,2013,6-Apr-13,National,National Semifinal,4 Syracuse,56,4 Michigan,61,,-5,"Atlanta, GA"
541,2013,6-Apr-13,National,National Semifinal,4 Michigan,61,4 Syracuse,56,,5,"Atlanta, GA"
542,2013,6-Apr-13,National,National Semifinal,1 Louisville,72,9 Wichita State,68,,4,"Atlanta, GA"
543,2013,31-Mar-13,South,Regional Final,4 Michigan,79,3 Florida,59,,20,"Arlington, TX"
544,2013,31-Mar-13,Midwest,Regional Final,1 Louisville,85,2 Duke,63,,22,"Indianapolis, IN"
545,2013,31-Mar-13,South,Regional Final,3 Florida,59,4 Michigan,79,,-20,"Arlington, TX"
546,2013,31-Mar-13,Midwest,Regional Final,2 Duke,63,1 Louisville,85,,-22,"Indianapolis, IN"
547,2013,30-Mar-13,West,Regional Final,9 Wichita State,70,2 Ohio State,66,,4,"Los Angeles, CA"
548,2013,30-Mar-13,East,Regional Final,4 Syracuse,55,3 Marquette,39,,16,"Washington, DC"
549,2013,30-Mar-13,West,Regional Final,2 Ohio State,66,9 Wichita State,70,,-4,"Los Angeles, CA"
550,2013,30-Mar-13,East,Regional Final,3 Marquette,39,4 Syracuse,55,,-16,"Washington, DC"
551,2013,29-Mar-13,Midwest,Regional Semifinal,12 Oregon,69,1 Louisville,77,,-8,"Indianapolis, IN"
552,2013,29-Mar-13,Midwest,Regional Semifinal,3 Michigan State,61,2 Duke,71,,-10,"Indianapolis, IN"
553,2013,29-Mar-13,South,Regional Semifinal,4 Michigan,87,1 Kansas,85,OT,2,"Arlington, TX"
554,2013,29-Mar-13,Midwest,Regional Semifinal,1 Louisville,77,12 Oregon,69,,8,"Indianapolis, IN"
555,2013,29-Mar-13,South,Regional Semifinal,1 Kansas,85,4 Michigan,87,OT,-2,"Arlington, TX"
556,2013,29-Mar-13,South,Regional Semifinal,15 Florida Gulf Coast,50,3 Florida,62,,-12,"Arlington, TX"
557,2013,29-Mar-13,South,Regional Semifinal,3 Florida,62,15 Florida Gulf Coast,50,,12,"Arlington, TX"
558,2013,29-Mar-13,Midwest,Regional Semifinal,2 Duke,71,3 Michigan State,61,,10,"Indianapolis, IN"
559,2013,28-Mar-13,West,Regional Semifinal,9 Wichita State,72,13 La Salle,58,,14,"Los Angeles, CA"
560,2013,28-Mar-13,East,Regional Semifinal,4 Syracuse,61,1 Indiana,50,,11,"Washington, DC"
561,2013,28-Mar-13,West,Regional Semifinal,2 Ohio State,73,6 Arizona,70,,3,"Los Angeles, CA"
562,2013,28-Mar-13,East,Regional Semifinal,2 Miami (FL),61,3 Marquette,71,,-10,"Washington, DC"
563,2013,28-Mar-13,East,Regional Semifinal,3 Marquette,71,2 Miami (FL),61,,10,"Washington, DC"
564,2013,28-Mar-13,West,Regional Semifinal,13 La Salle,58,9 Wichita State,72,,-14,"Los Angeles, CA"
565,2013,28-Mar-13,East,Regional Semifinal,1 Indiana,50,4 Syracuse,61,,-11,"Washington, DC"
566,2013,28-Mar-13,West,Regional Semifinal,6 Arizona,70,2 Ohio State,73,,-3,"Los Angeles, CA"
567,2013,24-Mar-13,East,Third Round,9 Temple,52,1 Indiana,58,,-6,"Dayton, OH"
568,2013,24-Mar-13,South,Third Round,7 San Diego State,71,15 Florida Gulf Coast,81,,-10,"Philadelphia, PA"
569,2013,24-Mar-13,West,Third Round,2 Ohio State,78,10 Iowa State,75,,3,"Dayton, OH"
570,2013,24-Mar-13,South,Third Round,8 North Carolina,58,1 Kansas,70,,-12,"Kansas City, MO"
571,2013,24-Mar-13,West,Third Round,12 Mississippi,74,13 La Salle,76,,-2,"Kansas City, MO"
572,2013,24-Mar-13,South,Third Round,11 Minnesota,64,3 Florida,78,,-14,"Austin, TX"
573,2013,24-Mar-13,East,Third Round,2 Miami (FL),63,7 Illinois,59,,4,"Austin, TX"
574,2013,24-Mar-13,West,Third Round,13 La Salle,76,12 Mississippi,74,,2,"Kansas City, MO"
575,2013,24-Mar-13,South,Third Round,1 Kansas,70,8 North Carolina,58,,12,"Kansas City, MO"
576,2013,24-Mar-13,West,Third Round,10 Iowa State,75,2 Ohio State,78,,-3,"Dayton, OH"
577,2013,24-Mar-13,East,Third Round,1 Indiana,58,9 Temple,52,,6,"Dayton, OH"
578,2013,24-Mar-13,East,Third Round,7 Illinois,59,2 Miami (FL),63,,-4,"Austin, TX"
579,2013,24-Mar-13,South,Third Round,15 Florida Gulf Coast,81,7 San Diego State,71,,10,"Philadelphia, PA"
580,2013,24-Mar-13,South,Third Round,3 Florida,78,11 Minnesota,64,,14,"Austin, TX"
581,2013,24-Mar-13,Midwest,Third Round,2 Duke,66,7 Creighton,50,,16,"Philadelphia, PA"
582,2013,24-Mar-13,Midwest,Third Round,7 Creighton,50,2 Duke,66,,-16,"Philadelphia, PA"
583,2013,23-Mar-13,West,Third Round,9 Wichita State,76,1 Gonzaga,70,,6,"Salt Lake City, UT"
584,2013,23-Mar-13,South,Third Round,5 Virginia Commonwealth,53,4 Michigan,78,,-25,"Auburn Hills, MI"
585,2013,23-Mar-13,East,Third Round,4 Syracuse,66,12 California,60,,6,"San Jose, CA"
586,2013,23-Mar-13,Midwest,Third Round,4 Saint Louis,57,12 Oregon,74,,-17,"San Jose, CA"
587,2013,23-Mar-13,Midwest,Third Round,12 Oregon,74,4 Saint Louis,57,,17,"San Jose, CA"
588,2013,23-Mar-13,Midwest,Third Round,3 Michigan State,70,6 Memphis,48,,22,"Auburn Hills, MI"
589,2013,23-Mar-13,South,Third Round,4 Michigan,78,5 Virginia Commonwealth,53,,25,"Auburn Hills, MI"
590,2013,23-Mar-13,Midwest,Third Round,6 Memphis,48,3 Michigan State,70,,-22,"Auburn Hills, MI"
591,2013,23-Mar-13,East,Third Round,3 Marquette,74,6 Butler,72,,2,"Lexington, KY"
592,2013,23-Mar-13,Midwest,Third Round,1 Louisville,82,8 Colorado State,56,,26,"Lexington, KY"
