Rk,Year,Date,Region,Round,School,PTS,Opponent,PTS,OT,Diff,Location
1301,2008,20-Mar-08,South,First Round,4ÊPittsburgh,82,13ÊOral Roberts,63,,19,"Denver, CO"
1302,2008,20-Mar-08,South,First Round,13ÊOral Roberts,63,4ÊPittsburgh,82,,-19,"Denver, CO"
1303,2008,20-Mar-08,East,First Round,5ÊNotre Dame,68,12ÊGeorge Mason,50,,18,"Denver, CO"
1304,2008,20-Mar-08,Midwest,First Round,8ÊNevada-Las Vegas,71,9ÊKent State,58,,13,"Omaha, NE"
1305,2008,20-Mar-08,West,First Round,16ÊMississippi Valley State,29,1ÊUCLA,70,,-41,"Anaheim, CA"
1306,2008,20-Mar-08,South,First Round,5ÊMichigan State,72,12ÊTemple,61,,11,"Denver, CO"
1307,2008,20-Mar-08,South,First Round,6ÊMarquette,74,11ÊKentucky,66,,8,"Anaheim, CA"
1308,2008,20-Mar-08,South,First Round,11ÊKentucky,66,6ÊMarquette,74,,-8,"Anaheim, CA"
1309,2008,20-Mar-08,Midwest,First Round,9ÊKent State,58,8ÊNevada-Las Vegas,71,,-13,"Omaha, NE"
1310,2008,20-Mar-08,Midwest,First Round,11ÊKansas State,80,6ÊSouthern California,67,,13,"Omaha, NE"
1311,2008,20-Mar-08,Midwest,First Round,1ÊKansas,85,16ÊPortland State,61,,24,"Omaha, NE"
1312,2008,20-Mar-08,West,First Round,14ÊGeorgia,61,3ÊXavier,73,,-12,"Washington, DC"
1313,2008,20-Mar-08,East,First Round,12ÊGeorge Mason,50,5ÊNotre Dame,68,,-18,"Denver, CO"
1314,2008,20-Mar-08,West,First Round,2ÊDuke,71,15ÊBelmont,70,,1,"Washington, DC"
1315,2008,20-Mar-08,South,First Round,14ÊCornell,53,3ÊStanford,77,,-24,"Anaheim, CA"
1316,2008,20-Mar-08,Midwest,First Round,14ÊCal State Fullerton,56,3ÊWisconsin,71,,-15,"Omaha, NE"
