Rk,Year,Date,Region,Round,School,PTS,Opponent,PTS,OT,Diff,Location
701,2012,18-Mar-12,South,Third Round,10ÊXavier,70,15ÊLehigh,58,,12,"Greensboro, NC"
702,2012,18-Mar-12,Midwest,Third Round,12ÊSouth Florida,56,13ÊOhio,62,,-6,"Nashville, TN"
703,2012,18-Mar-12,West,Third Round,9ÊSaint Louis,61,1ÊMichigan State,65,,-4,"Columbus, OH"
704,2012,18-Mar-12,Midwest,Third Round,10ÊPurdue,60,2ÊKansas,63,,-3,"Omaha, NE"
705,2012,18-Mar-12,Midwest,Third Round,13ÊOhio,62,12ÊSouth Florida,56,,6,"Nashville, TN"
706,2012,18-Mar-12,Midwest,Third Round,11ÊNorth Carolina State,66,3ÊGeorgetown,63,,3,"Columbus, OH"
707,2012,18-Mar-12,Midwest,Third Round,1ÊNorth Carolina,87,8ÊCreighton,73,,14,"Greensboro, NC"
708,2012,18-Mar-12,West,Third Round,15ÊNorfolk State,50,7ÊFlorida,84,,-34,"Omaha, NE"
709,2012,18-Mar-12,West,Third Round,1ÊMichigan State,65,9ÊSaint Louis,61,,4,"Columbus, OH"
710,2012,18-Mar-12,South,Third Round,15ÊLehigh,58,10ÊXavier,70,,-12,"Greensboro, NC"
711,2012,18-Mar-12,Midwest,Third Round,2ÊKansas,63,10ÊPurdue,60,,3,"Omaha, NE"
712,2012,18-Mar-12,Midwest,Third Round,3ÊGeorgetown,63,11ÊNorth Carolina State,66,,-3,"Columbus, OH"
713,2012,18-Mar-12,East,Third Round,3ÊFlorida State,56,6ÊCincinnati,62,,-6,"Nashville, TN"
714,2012,18-Mar-12,West,Third Round,7ÊFlorida,84,15ÊNorfolk State,50,,34,"Omaha, NE"
715,2012,18-Mar-12,Midwest,Third Round,8ÊCreighton,73,1ÊNorth Carolina,87,,-14,"Greensboro, NC"
716,2012,18-Mar-12,East,Third Round,6ÊCincinnati,62,3ÊFlorida State,56,,6,"Nashville, TN"
717,2012,17-Mar-12,East,Third Round,4ÊWisconsin,60,5ÊVanderbilt,57,,3,"Albuquerque, NM"
718,2012,17-Mar-12,South,Third Round,12ÊVirginia Commonwealth,61,4ÊIndiana,63,,-2,"Portland, OR"
719,2012,17-Mar-12,East,Third Round,5ÊVanderbilt,57,4ÊWisconsin,60,,-3,"Albuquerque, NM"
720,2012,17-Mar-12,East,Third Round,1ÊSyracuse,75,8ÊKansas State,59,,16,"Pittsburgh, PA"
721,2012,17-Mar-12,East,Third Round,2ÊOhio State,73,7ÊGonzaga,66,,7,"Pittsburgh, PA"
722,2012,17-Mar-12,West,Third Round,5ÊNew Mexico,56,4ÊLouisville,59,,-3,"Portland, OR"
723,2012,17-Mar-12,West,Third Round,6ÊMurray State,53,3ÊMarquette,62,,-9,"Louisville, KY"
724,2012,17-Mar-12,West,Third Round,3ÊMarquette,62,6ÊMurray State,53,,9,"Louisville, KY"
725,2012,17-Mar-12,West,Third Round,4ÊLouisville,59,5ÊNew Mexico,56,,3,"Portland, OR"
726,2012,17-Mar-12,South,Third Round,1ÊKentucky,87,8ÊIowa State,71,,16,"Louisville, KY"
727,2012,17-Mar-12,East,Third Round,8ÊKansas State,59,1ÊSyracuse,75,,-16,"Pittsburgh, PA"
728,2012,17-Mar-12,South,Third Round,8ÊIowa State,71,1ÊKentucky,87,,-16,"Louisville, KY"
729,2012,17-Mar-12,South,Third Round,4ÊIndiana,63,12ÊVirginia Commonwealth,61,,2,"Portland, OR"
730,2012,17-Mar-12,East,Third Round,7ÊGonzaga,66,2ÊOhio State,73,,-7,"Pittsburgh, PA"
731,2012,17-Mar-12,South,Third Round,11ÊColorado,63,3ÊBaylor,80,,-17,"The Pit, Al"
732,2012,17-Mar-12,South,Third Round,3ÊBaylor,80,11ÊColorado,63,,17,"The Pit, Al"
733,2012,16-Mar-12,South,Second Round,10ÊXavier,67,7ÊNotre Dame,63,,4,"Greensboro, NC"
734,2012,16-Mar-12,West,Second Round,10ÊVirginia,45,7ÊFlorida,71,,-26,"Omaha, NE"
735,2012,16-Mar-12,Midwest,Second Round,16ÊVermont,58,1ÊNorth Carolina,77,,-19,"Greensboro, NC"
736,2012,16-Mar-12,East,Second Round,11ÊTexas,59,6ÊCincinnati,65,,-6,"Nashville, TN"
737,2012,16-Mar-12,Midwest,Second Round,5ÊTemple,44,12ÊSouth Florida,58,,-14,"Nashville, TN"
738,2012,16-Mar-12,East,Second Round,14ÊSt. Bonaventure,63,3ÊFlorida State,66,,-3,"Nashville, TN"
739,2012,16-Mar-12,Midwest,Second Round,12ÊSouth Florida,58,5ÊTemple,44,,14,"Nashville, TN"
740,2012,16-Mar-12,Midwest,Second Round,6ÊSan Diego State,65,11ÊNorth Carolina State,79,,-14,"Columbus, OH"
741,2012,16-Mar-12,Midwest,Second Round,7ÊSaint Mary's (CA),69,10ÊPurdue,72,,-3,"Omaha, NE"
742,2012,16-Mar-12,West,Second Round,9ÊSaint Louis,61,8ÊMemphis,54,,7,"Columbus, OH"
