Rk,Year,Date,Region,Round,School,PTS,Opponent,PTS,OT,Diff,Location
301,2015,22-Mar-15,Midwest,Third Round,5ÊWest Virginia,69,4ÊMaryland,59,,10,"Columbus, OH"
302,2015,22-Mar-15,East,Third Round,2ÊVirginia,54,7ÊMichigan State,60,,-6,"Charlotte, NC"
303,2015,22-Mar-15,South,Third Round,8ÊSan Diego State,49,1ÊDuke,68,,-19,"Charlotte, NC"
304,2015,22-Mar-15,West,Third Round,8ÊOregon,65,1ÊWisconsin,72,,-7,"Omaha, NE"
305,2015,22-Mar-15,East,Third Round,3ÊOklahoma,72,11ÊDayton,66,,6,"Columbus, OH"
306,2015,22-Mar-15,East,Third Round,5ÊNorthern Iowa,53,4ÊLouisville,66,,-13,"Seattle, WA"
307,2015,22-Mar-15,East,Third Round,7ÊMichigan State,60,2ÊVirginia,54,,6,"Charlotte, NC"
308,2015,22-Mar-15,Midwest,Third Round,4ÊMaryland,59,5ÊWest Virginia,69,,-10,"Columbus, OH"
309,2015,22-Mar-15,East,Third Round,4ÊLouisville,66,5ÊNorthern Iowa,53,,13,"Seattle, WA"
310,2015,22-Mar-15,Midwest,Third Round,2ÊKansas,65,7ÊWichita State,78,,-13,"Omaha, NE"
311,2015,22-Mar-15,South,Third Round,7ÊIowa,68,2ÊGonzaga,87,,-19,"Seattle, WA"
312,2015,22-Mar-15,South,Third Round,2ÊGonzaga,87,7ÊIowa,68,,19,"Seattle, WA"
313,2015,22-Mar-15,South,Third Round,1ÊDuke,68,8ÊSan Diego State,49,,19,"Charlotte, NC"
314,2015,22-Mar-15,East,Third Round,11ÊDayton,66,3ÊOklahoma,72,,-6,"Columbus, OH"
315,2015,21-Mar-15,West,Third Round,6ÊXavier,75,14ÊGeorgia State,67,,8,"Jacksonville, FL"
316,2015,21-Mar-15,East,Third Round,1ÊVillanova,68,8ÊNorth Carolina State,71,,-3,"Pittsburgh, PA"
317,2015,21-Mar-15,South,Third Round,5ÊUtah,75,4ÊGeorgetown,64,,11,"Portland, OR"
318,2015,21-Mar-15,South,Third Round,11ÊUCLA,92,14ÊAlabama-Birmingham,75,,17,"Louisville, KY"
319,2015,21-Mar-15,West,Third Round,10ÊOhio State,58,2ÊArizona,73,,-15,"Portland, OR"
320,2015,21-Mar-15,Midwest,Third Round,3ÊNotre Dame,67,6ÊButler,64,OT,3,"Pittsburgh, PA"
321,2015,21-Mar-15,East,Third Round,8ÊNorth Carolina State,71,1ÊVillanova,68,,3,"Pittsburgh, PA"
322,2015,21-Mar-15,West,Third Round,4ÊNorth Carolina,87,5ÊArkansas,78,,9,"Jacksonville, FL"
323,2015,21-Mar-15,Midwest,Third Round,1ÊKentucky,64,8ÊCincinnati,51,,13,"Louisville, KY"
324,2015,21-Mar-15,West,Third Round,14ÊGeorgia State,67,6ÊXavier,75,,-8,"Jacksonville, FL"
325,2015,21-Mar-15,South,Third Round,4ÊGeorgetown,64,5ÊUtah,75,,-11,"Portland, OR"
326,2015,21-Mar-15,Midwest,Third Round,8ÊCincinnati,51,1ÊKentucky,64,,-13,"Louisville, KY"
327,2015,21-Mar-15,Midwest,Third Round,6ÊButler,64,3ÊNotre Dame,67,OT,-3,"Pittsburgh, PA"
328,2015,21-Mar-15,West,Third Round,5ÊArkansas,78,4ÊNorth Carolina,87,,-9,"Jacksonville, FL"
329,2015,21-Mar-15,West,Third Round,2ÊArizona,73,10ÊOhio State,58,,15,"Portland, OR"
