Rk,Year,Date,Region,Round,School,PTS,Opponent,PTS,OT,Diff,Location
601,2013,22-Mar-13,South,Second Round,9ÊVillanova,71,8ÊNorth Carolina,78,,-7,"Kansas City, MO"
602,2013,22-Mar-13,South,Second Round,6ÊUCLA,63,11ÊMinnesota,83,,-20,"Austin, TX"
603,2013,22-Mar-13,East,Second Round,9ÊTemple,76,8ÊNorth Carolina State,72,,4,"Dayton, OH"
604,2013,22-Mar-13,South,Second Round,7ÊSan Diego State,70,10ÊOklahoma,55,,15,"Philadelphia, PA"
605,2013,22-Mar-13,East,Second Round,15ÊPacific,49,2ÊMiami (FL),78,,-29,"Austin, TX"
606,2013,22-Mar-13,South,Second Round,10ÊOklahoma,55,7ÊSan Diego State,70,,-15,"Philadelphia, PA"
607,2013,22-Mar-13,West,Second Round,2ÊOhio State,95,15ÊIona,70,,25,"Dayton, OH"
608,2013,22-Mar-13,West,Second Round,7ÊNotre Dame,58,10ÊIowa State,76,,-18,"Dayton, OH"
609,2013,22-Mar-13,South,Second Round,14ÊNorthwestern State,47,3ÊFlorida,79,,-32,"Austin, TX"
610,2013,22-Mar-13,East,Second Round,8ÊNorth Carolina State,72,9ÊTemple,76,,-4,"Dayton, OH"
611,2013,22-Mar-13,South,Second Round,8ÊNorth Carolina,78,9ÊVillanova,71,,7,"Kansas City, MO"
612,2013,22-Mar-13,West,Second Round,12ÊMississippi,57,5ÊWisconsin,46,,11,"Kansas City, MO"
613,2013,22-Mar-13,South,Second Round,11ÊMinnesota,83,6ÊUCLA,63,,20,"Austin, TX"
614,2013,22-Mar-13,East,Second Round,2ÊMiami (FL),78,15ÊPacific,49,,29,"Austin, TX"
615,2013,22-Mar-13,West,Second Round,13ÊLa Salle,63,4ÊKansas State,61,,2,"Kansas City, MO"
616,2013,22-Mar-13,West,Second Round,4ÊKansas State,61,13ÊLa Salle,63,,-2,"Kansas City, MO"
617,2013,22-Mar-13,South,Second Round,1ÊKansas,64,16ÊWestern Kentucky,57,,7,"Kansas City, MO"
618,2013,22-Mar-13,East,Second Round,16ÊJames Madison,62,1ÊIndiana,83,,-21,"Dayton, OH"
619,2013,22-Mar-13,West,Second Round,10ÊIowa State,76,7ÊNotre Dame,58,,18,"Dayton, OH"
620,2013,22-Mar-13,West,Second Round,15ÊIona,70,2ÊOhio State,95,,-25,"Dayton, OH"
621,2013,22-Mar-13,East,Second Round,1ÊIndiana,83,16ÊJames Madison,62,,21,"Dayton, OH"
622,2013,22-Mar-13,East,Second Round,7ÊIllinois,57,10ÊColorado,49,,8,"Austin, TX"
623,2013,22-Mar-13,South,Second Round,2ÊGeorgetown,68,15ÊFlorida Gulf Coast,78,,-10,"Philadelphia, PA"
624,2013,22-Mar-13,South,Second Round,15ÊFlorida Gulf Coast,78,2ÊGeorgetown,68,,10,"Philadelphia, PA"
625,2013,22-Mar-13,South,Second Round,3ÊFlorida,79,14ÊNorthwestern State,47,,32,"Austin, TX"
