Rk,Year,Date,Region,Round,School,PTS,Opponent,PTS,OT,Diff,Location
626,2013,22-Mar-13,Midwest,Second Round,2ÊDuke,73,15ÊAlbany (NY),61,,12,"Philadelphia, PA"
627,2013,22-Mar-13,Midwest,Second Round,7ÊCreighton,67,10ÊCincinnati,63,,4,"Philadelphia, PA"
628,2013,22-Mar-13,East,Second Round,10ÊColorado,49,7ÊIllinois,57,,-8,"Austin, TX"
629,2013,22-Mar-13,Midwest,Second Round,10ÊCincinnati,63,7ÊCreighton,67,,-4,"Philadelphia, PA"
630,2013,22-Mar-13,Midwest,Second Round,15ÊAlbany (NY),61,2ÊDuke,73,,-12,"Philadelphia, PA"
631,2013,21-Mar-13,West,Second Round,9ÊWichita State,73,8ÊPittsburgh,55,,18,"Salt Lake City, UT"
632,2013,21-Mar-13,South,Second Round,5ÊVirginia Commonwealth,88,12ÊAkron,42,,46,"Auburn Hills, MI"
633,2013,21-Mar-13,Midwest,Second Round,14ÊValparaiso,54,3ÊMichigan State,65,,-11,"Auburn Hills, MI"
634,2013,21-Mar-13,East,Second Round,4ÊSyracuse,81,13ÊMontana,34,,47,"San Jose, CA"
635,2013,21-Mar-13,West,Second Round,16ÊSouthern,58,1ÊGonzaga,64,,-6,"Salt Lake City, UT"
636,2013,21-Mar-13,South,Second Round,13ÊSouth Dakota State,56,4ÊMichigan,71,,-15,"Auburn Hills, MI"
637,2013,21-Mar-13,Midwest,Second Round,11ÊSaint Mary's (CA),52,6ÊMemphis,54,,-2,"Auburn Hills, MI"
638,2013,21-Mar-13,Midwest,Second Round,4ÊSaint Louis,64,13ÊNew Mexico State,44,,20,"San Jose, CA"
639,2013,21-Mar-13,West,Second Round,8ÊPittsburgh,55,9ÊWichita State,73,,-18,"Salt Lake City, UT"
640,2013,21-Mar-13,Midwest,Second Round,12ÊOregon,68,5ÊOklahoma State,55,,13,"San Jose, CA"
641,2013,21-Mar-13,Midwest,Second Round,5ÊOklahoma State,55,12ÊOregon,68,,-13,"San Jose, CA"
642,2013,21-Mar-13,Midwest,Second Round,16ÊNorth Carolina A&T,48,1ÊLouisville,79,,-31,"Lexington, KY"
643,2013,21-Mar-13,Midwest,Second Round,13ÊNew Mexico State,44,4ÊSaint Louis,64,,-20,"San Jose, CA"
644,2013,21-Mar-13,West,Second Round,3ÊNew Mexico,62,14ÊHarvard,68,,-6,"Salt Lake City, UT"
645,2013,21-Mar-13,East,Second Round,5ÊNevada-Las Vegas,61,12ÊCalifornia,64,,-3,"San Jose, CA"
646,2013,21-Mar-13,East,Second Round,13ÊMontana,34,4ÊSyracuse,81,,-47,"San Jose, CA"
647,2013,21-Mar-13,Midwest,Second Round,9ÊMissouri,72,8ÊColorado State,84,,-12,"Lexington, KY"
648,2013,21-Mar-13,Midwest,Second Round,3ÊMichigan State,65,14ÊValparaiso,54,,11,"Auburn Hills, MI"
649,2013,21-Mar-13,South,Second Round,4ÊMichigan,71,13ÊSouth Dakota State,56,,15,"Auburn Hills, MI"
650,2013,21-Mar-13,Midwest,Second Round,6ÊMemphis,54,11ÊSaint Mary's (CA),52,,2,"Auburn Hills, MI"
651,2013,21-Mar-13,East,Second Round,3ÊMarquette,59,14ÊDavidson,58,,1,"Lexington, KY"
652,2013,21-Mar-13,Midwest,Second Round,1ÊLouisville,79,16ÊNorth Carolina A&T,48,,31,"Lexington, KY"
653,2013,21-Mar-13,West,Second Round,14ÊHarvard,68,3ÊNew Mexico,62,,6,"Salt Lake City, UT"
654,2013,21-Mar-13,West,Second Round,1ÊGonzaga,64,16ÊSouthern,58,,6,"Salt Lake City, UT"
655,2013,21-Mar-13,East,Second Round,14ÊDavidson,58,3ÊMarquette,59,,-1,"Lexington, KY"
656,2013,21-Mar-13,Midwest,Second Round,8ÊColorado State,84,9ÊMissouri,72,,12,"Lexington, KY"
657,2013,21-Mar-13,East,Second Round,12ÊCalifornia,64,5ÊNevada-Las Vegas,61,,3,"San Jose, CA"
658,2013,21-Mar-13,East,Second Round,6ÊButler,68,11ÊBucknell,56,,12,"Lexington, KY"
659,2013,21-Mar-13,East,Second Round,11ÊBucknell,56,6ÊButler,68,,-12,"Lexington, KY"
660,2013,21-Mar-13,West,Second Round,11ÊBelmont,64,6ÊArizona,81,,-17,"Salt Lake City, UT"
661,2013,21-Mar-13,West,Second Round,6ÊArizona,81,11ÊBelmont,64,,17,"Salt Lake City, UT"
662,2013,21-Mar-13,South,Second Round,12ÊAkron,42,5ÊVirginia Commonwealth,88,,-46,"Auburn Hills, MI"
663,2013,20-Mar-13,East,First Round,16ÊLong Island University,55,16ÊJames Madison,68,,-13,"Dayton, OH"
664,2013,20-Mar-13,West,First Round,13ÊLa Salle,80,13ÊBoise State,71,,9,"Dayton, OH"
665,2013,20-Mar-13,East,First Round,16ÊJames Madison,68,16ÊLong Island University,55,,13,"Dayton, OH"
666,2013,20-Mar-13,West,First Round,13ÊBoise State,71,13ÊLa Salle,80,,-9,"Dayton, OH"
667,2013,19-Mar-13,Midwest,First Round,11ÊSaint Mary's (CA),67,11ÊMiddle Tennessee,54,,13,"Dayton, OH"
668,2013,19-Mar-13,Midwest,First Round,16ÊNorth Carolina A&T,73,16ÊLiberty,72,,1,"Dayton, OH"
669,2013,19-Mar-13,Midwest,First Round,11ÊMiddle Tennessee,54,11ÊSaint Mary's (CA),67,,-13,"Dayton, OH"
670,2013,19-Mar-13,Midwest,First Round,16ÊLiberty,72,16ÊNorth Carolina A&T,73,,-1,"Dayton, OH"
671,2012,2-Apr-12,National,National Final,1ÊKentucky,67,2ÊKansas,59,,8,"New Orleans, LA"
672,2012,2-Apr-12,National,National Final,2ÊKansas,59,1ÊKentucky,67,,-8,"New Orleans, LA"
673,2012,31-Mar-12,National,National Semifinal,2ÊOhio State,62,2ÊKansas,64,,-2,"New Orleans, LA"
674,2012,31-Mar-12,National,National Semifinal,4ÊLouisville,61,1ÊKentucky,69,,-8,"New Orleans, LA"
675,2012,31-Mar-12,National,National Semifinal,1ÊKentucky,69,4ÊLouisville,61,,8,"New Orleans, LA"
676,2012,31-Mar-12,National,National Semifinal,2ÊKansas,64,2ÊOhio State,62,,2,"New Orleans, LA"
677,2012,25-Mar-12,Midwest,Regional Final,1ÊNorth Carolina,67,2ÊKansas,80,,-13,"St. Louis, MO"
678,2012,25-Mar-12,South,Regional Final,1ÊKentucky,82,3ÊBaylor,70,,12,"Atlanta, GA"
679,2012,25-Mar-12,Midwest,Regional Final,2ÊKansas,80,1ÊNorth Carolina,67,,13,"St. Louis, MO"
680,2012,25-Mar-12,South,Regional Final,3ÊBaylor,70,1ÊKentucky,82,,-12,"Atlanta, GA"
681,2012,24-Mar-12,East,Regional Final,1ÊSyracuse,70,2ÊOhio State,77,,-7,"Boston, MA"
682,2012,24-Mar-12,East,Regional Final,2ÊOhio State,77,1ÊSyracuse,70,,7,"Boston, MA"
683,2012,24-Mar-12,West,Regional Final,4ÊLouisville,72,7ÊFlorida,68,,4,"Phoenix, AZ"
684,2012,24-Mar-12,West,Regional Final,7ÊFlorida,68,4ÊLouisville,72,,-4,"Phoenix, AZ"
685,2012,23-Mar-12,South,Regional Semifinal,10ÊXavier,70,3ÊBaylor,75,,-5,"Atlanta, GA"
686,2012,23-Mar-12,Midwest,Regional Semifinal,13ÊOhio,65,1ÊNorth Carolina,73,OT,-8,"St. Louis, MO"
687,2012,23-Mar-12,Midwest,Regional Semifinal,11ÊNorth Carolina State,57,2ÊKansas,60,,-3,"St. Louis, MO"
688,2012,23-Mar-12,Midwest,Regional Semifinal,1ÊNorth Carolina,73,13ÊOhio,65,OT,8,"St. Louis, MO"
689,2012,23-Mar-12,South,Regional Semifinal,1ÊKentucky,102,4ÊIndiana,90,,12,"Atlanta, GA"
690,2012,23-Mar-12,Midwest,Regional Semifinal,2ÊKansas,60,11ÊNorth Carolina State,57,,3,"St. Louis, MO"
691,2012,23-Mar-12,South,Regional Semifinal,4ÊIndiana,90,1ÊKentucky,102,,-12,"Atlanta, GA"
692,2012,23-Mar-12,South,Regional Semifinal,3ÊBaylor,75,10ÊXavier,70,,5,"Atlanta, GA"
693,2012,22-Mar-12,East,Regional Semifinal,4ÊWisconsin,63,1ÊSyracuse,64,,-1,"Boston, MA"
694,2012,22-Mar-12,East,Regional Semifinal,1ÊSyracuse,64,4ÊWisconsin,63,,1,"Boston, MA"
695,2012,22-Mar-12,East,Regional Semifinal,2ÊOhio State,81,6ÊCincinnati,66,,15,"Boston, MA"
696,2012,22-Mar-12,West,Regional Semifinal,1ÊMichigan State,44,4ÊLouisville,57,,-13,"Phoenix, AZ"
697,2012,22-Mar-12,West,Regional Semifinal,3ÊMarquette,58,7ÊFlorida,68,,-10,"Phoenix, AZ"
698,2012,22-Mar-12,West,Regional Semifinal,4ÊLouisville,57,1ÊMichigan State,44,,13,"Phoenix, AZ"
699,2012,22-Mar-12,West,Regional Semifinal,7ÊFlorida,68,3ÊMarquette,58,,10,"Phoenix, AZ"
700,2012,22-Mar-12,East,Regional Semifinal,6ÊCincinnati,66,2ÊOhio State,81,,-15,"Boston, MA"
