Rk,Year,Date,Region,Round,School,PTS,Opponent,PTS,OT,Diff,Location
454,2014,22-Mar-14,Midwest,Third Round,5ÊSaint Louis,51,4ÊLouisville,66,,-15,"Orlando, FL"
455,2014,22-Mar-14,South,Third Round,9ÊPittsburgh,45,1ÊFlorida,61,,-16,"Orlando, FL"
456,2014,22-Mar-14,West,Third Round,7ÊOregon,77,2ÊWisconsin,85,,-8,"Milwaukee, WI"
457,2014,22-Mar-14,West,Third Round,12ÊNorth Dakota State,44,4ÊSan Diego State,63,,-19,"Spokane, WA"
458,2014,22-Mar-14,East,Third Round,4ÊMichigan State,80,12ÊHarvard,73,,7,"Spokane, WA"
459,2014,22-Mar-14,Midwest,Third Round,2ÊMichigan,79,7ÊTexas,65,,14,"Milwaukee, WI"
460,2014,22-Mar-14,Midwest,Third Round,4ÊLouisville,66,5ÊSaint Louis,51,,15,"Orlando, FL"
461,2014,22-Mar-14,East,Third Round,12ÊHarvard,73,4ÊMichigan State,80,,-7,"Spokane, WA"
462,2014,22-Mar-14,South,Third Round,1ÊFlorida,61,9ÊPittsburgh,45,,16,"Orlando, FL"
463,2014,22-Mar-14,South,Third Round,11ÊDayton,55,3ÊSyracuse,53,,2,"Buffalo, NY"
464,2014,22-Mar-14,East,Third Round,7ÊConnecticut,77,2ÊVillanova,65,,12,"Buffalo, NY"
465,2014,21-Mar-14,Midwest,Second Round,1ÊWichita State,64,16ÊCal Poly,37,,27,"St. Louis, MO"
466,2014,21-Mar-14,West,Second Round,16ÊWeber State,59,1ÊArizona,68,,-9,"San Diego, CA"
467,2014,21-Mar-14,South,Second Round,5ÊVirginia Commonwealth,75,12ÊStephen F. Austin,77,OT,-2,"San Diego, CA"
468,2014,21-Mar-14,East,Second Round,1ÊVirginia,70,16ÊCoastal Carolina,59,,11,"Raleigh, NC"
469,2014,21-Mar-14,South,Second Round,4ÊUCLA,76,13ÊTulsa,59,,17,"San Diego, CA"
470,2014,21-Mar-14,South,Second Round,13ÊTulsa,59,4ÊUCLA,76,,-17,"San Diego, CA"
471,2014,21-Mar-14,Midwest,Second Round,11ÊTennessee,86,6ÊMassachusetts,67,,19,"Raleigh, NC"
472,2014,21-Mar-14,South,Second Round,12ÊStephen F. Austin,77,5ÊVirginia Commonwealth,75,OT,2,"San Diego, CA"
473,2014,21-Mar-14,South,Second Round,10ÊStanford,58,7ÊNew Mexico,53,,5,"St. Louis, MO"
474,2014,21-Mar-14,East,Second Round,11ÊProvidence,77,6ÊNorth Carolina,79,,-2,"San Antonio, TX"
475,2014,21-Mar-14,West,Second Round,9ÊOklahoma State,77,8ÊGonzaga,85,,-8,"San Diego, CA"
476,2014,21-Mar-14,East,Second Round,14ÊNorth Carolina Central,75,3ÊIowa State,93,,-18,"San Antonio, TX"
477,2014,21-Mar-14,East,Second Round,6ÊNorth Carolina,79,11ÊProvidence,77,,2,"San Antonio, TX"
478,2014,21-Mar-14,South,Second Round,7ÊNew Mexico,53,10ÊStanford,58,,-5,"St. Louis, MO"
479,2014,21-Mar-14,West,Second Round,11ÊNebraska,60,6ÊBaylor,74,,-14,"San Antonio, TX"
480,2014,21-Mar-14,Midwest,Second Round,14ÊMercer,78,3ÊDuke,71,,7,"Raleigh, NC"
481,2014,21-Mar-14,East,Second Round,8ÊMemphis,71,9ÊGeorge Washington,66,,5,"Raleigh, NC"
482,2014,21-Mar-14,Midwest,Second Round,6ÊMassachusetts,67,11ÊTennessee,86,,-19,"Raleigh, NC"
483,2014,21-Mar-14,West,Second Round,14ÊLouisiana,66,3ÊCreighton,76,,-10,"San Antonio, TX"
484,2014,21-Mar-14,Midwest,Second Round,8ÊKentucky,56,9ÊKansas State,49,,7,"St. Louis, MO"
485,2014,21-Mar-14,Midwest,Second Round,9ÊKansas State,49,8ÊKentucky,56,,-7,"St. Louis, MO"
486,2014,21-Mar-14,South,Second Round,2ÊKansas,80,15ÊEastern Kentucky,69,,11,"St. Louis, MO"
