Rk,Year,Date,Region,Round,School,PTS,Opponent,PTS,OT,Diff,Location
501,2014,20-Mar-14,Midwest,Second Round,7ÊTexas,87,10ÊArizona State,85,,2,"Milwaukee, WI"
502,2014,20-Mar-14,South,Second Round,3ÊSyracuse,77,14ÊWestern Michigan,53,,24,"Buffalo, NY"
503,2014,20-Mar-14,West,Second Round,4ÊSan Diego State,73,13ÊNew Mexico State,69,OT,4,"Spokane, WA"
504,2014,20-Mar-14,Midwest,Second Round,5ÊSaint Louis,83,12ÊNorth Carolina State,80,OT,3,"Orlando, FL"
505,2014,20-Mar-14,East,Second Round,10ÊSaint Joseph's,81,7ÊConnecticut,89,OT,-8,"Buffalo, NY"
506,2014,20-Mar-14,South,Second Round,9ÊPittsburgh,77,8ÊColorado,48,,29,"Orlando, FL"
507,2014,20-Mar-14,West,Second Round,7ÊOregon,87,10ÊBrigham Young,68,,19,"Milwaukee, WI"
508,2014,20-Mar-14,West,Second Round,5ÊOklahoma,75,12ÊNorth Dakota State,80,OT,-5,"Spokane, WA"
509,2014,20-Mar-14,South,Second Round,6ÊOhio State,59,11ÊDayton,60,,-1,"Buffalo, NY"
510,2014,20-Mar-14,West,Second Round,12ÊNorth Dakota State,80,5ÊOklahoma,75,OT,5,"Spokane, WA"
511,2014,20-Mar-14,Midwest,Second Round,12ÊNorth Carolina State,80,5ÊSaint Louis,83,OT,-3,"Orlando, FL"
512,2014,20-Mar-14,West,Second Round,13ÊNew Mexico State,69,4ÊSan Diego State,73,OT,-4,"Spokane, WA"
513,2014,20-Mar-14,East,Second Round,15ÊMilwaukee,53,2ÊVillanova,73,,-20,"Buffalo, NY"
514,2014,20-Mar-14,East,Second Round,4ÊMichigan State,93,13ÊDelaware,78,,15,"Spokane, WA"
515,2014,20-Mar-14,Midwest,Second Round,2ÊMichigan,57,15ÊWofford,40,,17,"Milwaukee, WI"
516,2014,20-Mar-14,Midwest,Second Round,13ÊManhattan,64,4ÊLouisville,71,,-7,"Orlando, FL"
517,2014,20-Mar-14,Midwest,Second Round,4ÊLouisville,71,13ÊManhattan,64,,7,"Orlando, FL"
518,2014,20-Mar-14,East,Second Round,12ÊHarvard,61,5ÊCincinnati,57,,4,"Spokane, WA"
519,2014,20-Mar-14,South,Second Round,1ÊFlorida,67,16ÊAlbany (NY),55,,12,"Orlando, FL"
520,2014,20-Mar-14,East,Second Round,13ÊDelaware,78,4ÊMichigan State,93,,-15,"Spokane, WA"
521,2014,20-Mar-14,South,Second Round,11ÊDayton,60,6ÊOhio State,59,,1,"Buffalo, NY"
522,2014,20-Mar-14,East,Second Round,7ÊConnecticut,89,10ÊSaint Joseph's,81,OT,8,"Buffalo, NY"
523,2014,20-Mar-14,South,Second Round,8ÊColorado,48,9ÊPittsburgh,77,,-29,"Orlando, FL"
524,2014,20-Mar-14,East,Second Round,5ÊCincinnati,57,12ÊHarvard,61,,-4,"Spokane, WA"
525,2014,20-Mar-14,West,Second Round,10ÊBrigham Young,68,7ÊOregon,87,,-19,"Milwaukee, WI"
526,2014,20-Mar-14,Midwest,Second Round,10ÊArizona State,85,7ÊTexas,87,,-2,"Milwaukee, WI"
527,2014,20-Mar-14,West,Second Round,15ÊAmerican,35,2ÊWisconsin,75,,-40,"Milwaukee, WI"
528,2014,20-Mar-14,South,Second Round,16ÊAlbany (NY),55,1ÊFlorida,67,,-12,"Orlando, FL"
529,2014,19-Mar-14,Midwest,First Round,16ÊTexas Southern,69,16ÊCal Poly,81,,-12,"Dayton, OH"
530,2014,19-Mar-14,Midwest,First Round,11ÊTennessee,78,11ÊIowa,65,OT,13,"Dayton, OH"
531,2014,19-Mar-14,Midwest,First Round,11ÊIowa,65,11ÊTennessee,78,OT,-13,"Dayton, OH"
532,2014,19-Mar-14,Midwest,First Round,16ÊCal Poly,81,16ÊTexas Southern,69,,12,"Dayton, OH"
