Rk,Year,Date,Region,Round,School,PTS,Opponent,PTS,OT,Diff,Location
1438,2007,15-Mar-07,West,First Round,10ÊGonzaga,57,7ÊIndiana,70,,-13,"Sacramento, CA"
1439,2007,15-Mar-07,East,First Round,2ÊGeorgetown,80,15ÊBelmont,55,,25,"Winston-Salem, NC"
1440,2007,15-Mar-07,East,First Round,11ÊGeorge Washington,44,6ÊVanderbilt,77,,-33,"Sacramento, CA"
1441,2007,15-Mar-07,East,First Round,16ÊEastern Kentucky,65,1ÊNorth Carolina,86,,-21,"Winston-Salem, NC"
1442,2007,15-Mar-07,West,First Round,6ÊDuke,77,11ÊVirginia Commonwealth,79,,-2,"Buffalo, NY"
1443,2007,15-Mar-07,Midwest,First Round,13ÊDavidson,70,4ÊMaryland,82,,-12,"Buffalo, NY"
1444,2007,15-Mar-07,South,First Round,16ÊCentral Connecticut State,57,1ÊOhio State,78,,-21,"Lexington, KY"
1445,2007,15-Mar-07,Midwest,First Round,5ÊButler,57,12ÊOld Dominion,46,,11,"Buffalo, NY"
1446,2007,15-Mar-07,South,First Round,8ÊBrigham Young,77,9ÊXavier,79,,-2,"Lexington, KY"
1447,2007,15-Mar-07,East,First Round,7ÊBoston College,84,10ÊTexas Tech,75,,9,"Winston-Salem, NC"
1448,2007,15-Mar-07,East,First Round,15ÊBelmont,55,2ÊGeorgetown,80,,-25,"Winston-Salem, NC"
1449,2007,13-Mar-07,West,Opening Round,16ÊNiagara,77,16ÊFlorida A&M,69,,8,"Dayton, OH"
1450,2007,13-Mar-07,West,Opening Round,16ÊFlorida A&M,69,16ÊNiagara,77,,-8,"Dayton, OH"
