Rk,Year,Date,Region,Round,School,PTS,Opponent,PTS,OT,Diff,Location
1401,2007,16-Mar-07,Midwest,First Round,7ÊNevada-Las Vegas,67,10ÊGeorgia Tech,63,,4,"Chicago, IL"
1402,2007,16-Mar-07,South,First Round,7ÊNevada,77,10ÊCreighton,71,OT,6,"New Orleans, LA"
1403,2007,16-Mar-07,Midwest,First Round,14ÊMiami (OH),56,3ÊOregon,58,,-2,"Spokane, WA"
1404,2007,16-Mar-07,South,First Round,2ÊMemphis,73,15ÊNorth Texas,58,,15,"New Orleans, LA"
1405,2007,16-Mar-07,South,First Round,12ÊLong Beach State,86,5ÊTennessee,121,,-35,"Columbus, OH"
1406,2007,16-Mar-07,West,First Round,8ÊKentucky,67,9ÊVillanova,58,,9,"Chicago, IL"
1407,2007,16-Mar-07,West,First Round,1ÊKansas,107,16ÊNiagara,67,,40,"Chicago, IL"
1408,2007,16-Mar-07,Midwest,First Round,16ÊJackson State,69,1ÊFlorida,112,,-43,"New Orleans, LA"
1409,2007,16-Mar-07,West,First Round,12ÊIllinois,52,5ÊVirginia Tech,54,,-2,"Columbus, OH"
1410,2007,16-Mar-07,West,First Round,13ÊHoly Cross,51,4ÊSouthern Illinois,61,,-10,"Columbus, OH"
1411,2007,16-Mar-07,Midwest,First Round,10ÊGeorgia Tech,63,7ÊNevada-Las Vegas,67,,-4,"Chicago, IL"
1412,2007,16-Mar-07,Midwest,First Round,1ÊFlorida,112,16ÊJackson State,69,,43,"New Orleans, LA"
1413,2007,16-Mar-07,South,First Round,10ÊCreighton,71,7ÊNevada,77,OT,-6,"New Orleans, LA"
1414,2007,16-Mar-07,East,First Round,12ÊArkansas,60,5ÊSouthern California,77,,-17,"Spokane, WA"
1415,2007,16-Mar-07,Midwest,First Round,8ÊArizona,63,9ÊPurdue,72,,-9,"New Orleans, LA"
1416,2007,16-Mar-07,South,First Round,13ÊAlbany (NY),57,4ÊVirginia,84,,-27,"Columbus, OH"
1417,2007,15-Mar-07,South,First Round,9ÊXavier,79,8ÊBrigham Young,77,,2,"Lexington, KY"
1418,2007,15-Mar-07,West,First Round,14ÊWright State,58,3ÊPittsburgh,79,,-21,"Buffalo, NY"
1419,2007,15-Mar-07,West,First Round,15ÊWeber State,42,2ÊUCLA,70,,-28,"Sacramento, CA"
1420,2007,15-Mar-07,East,First Round,3ÊWashington State,70,14ÊOral Roberts,54,,16,"Sacramento, CA"
1421,2007,15-Mar-07,West,First Round,11ÊVirginia Commonwealth,79,6ÊDuke,77,,2,"Buffalo, NY"
1422,2007,15-Mar-07,East,First Round,6ÊVanderbilt,77,11ÊGeorge Washington,44,,33,"Sacramento, CA"
1423,2007,15-Mar-07,West,First Round,2ÊUCLA,70,15ÊWeber State,42,,28,"Sacramento, CA"
1424,2007,15-Mar-07,East,First Round,10ÊTexas Tech,75,7ÊBoston College,84,,-9,"Winston-Salem, NC"
1425,2007,15-Mar-07,South,First Round,3ÊTexas A&M,68,14ÊPennsylvania,52,,16,"Lexington, KY"
1426,2007,15-Mar-07,South,First Round,11ÊStanford,58,6ÊLouisville,78,,-20,"Lexington, KY"
1427,2007,15-Mar-07,West,First Round,3ÊPittsburgh,79,14ÊWright State,58,,21,"Buffalo, NY"
1428,2007,15-Mar-07,South,First Round,14ÊPennsylvania,52,3ÊTexas A&M,68,,-16,"Lexington, KY"
1429,2007,15-Mar-07,East,First Round,14ÊOral Roberts,54,3ÊWashington State,70,,-16,"Sacramento, CA"
1430,2007,15-Mar-07,Midwest,First Round,12ÊOld Dominion,46,5ÊButler,57,,-11,"Buffalo, NY"
1431,2007,15-Mar-07,South,First Round,1ÊOhio State,78,16ÊCentral Connecticut State,57,,21,"Lexington, KY"
1432,2007,15-Mar-07,East,First Round,1ÊNorth Carolina,86,16ÊEastern Kentucky,65,,21,"Winston-Salem, NC"
1433,2007,15-Mar-07,East,First Round,9ÊMichigan State,61,8ÊMarquette,49,,12,"Winston-Salem, NC"
1434,2007,15-Mar-07,Midwest,First Round,4ÊMaryland,82,13ÊDavidson,70,,12,"Buffalo, NY"
1435,2007,15-Mar-07,East,First Round,8ÊMarquette,49,9ÊMichigan State,61,,-12,"Winston-Salem, NC"
1436,2007,15-Mar-07,South,First Round,6ÊLouisville,78,11ÊStanford,58,,20,"Lexington, KY"
1437,2007,15-Mar-07,West,First Round,7ÊIndiana,70,10ÊGonzaga,57,,13,"Sacramento, CA"
