Rk,Year,Date,Region,Round,School,PTS,Opponent,PTS,OT,Diff,Location
853,2011,19-Mar-11,Southeast,Third Round,7ÊUCLA,65,2ÊFlorida,73,,-8,"Tampa, FL"
854,2011,19-Mar-11,West,Third Round,7ÊTemple,64,2ÊSan Diego State,71,2OT,-7,"Tucson, AZ"
855,2011,19-Mar-11,West,Third Round,2ÊSan Diego State,71,7ÊTemple,64,2OT,7,"Tucson, AZ"
856,2011,19-Mar-11,Southwest,Third Round,12ÊRichmond,65,13ÊMorehead State,48,,17,"Denver, CO"
857,2011,19-Mar-11,Southeast,Third Round,1ÊPittsburgh,70,8ÊButler,71,,-1,"Washington, DC"
858,2011,19-Mar-11,Southwest,Third Round,13ÊMorehead State,48,12ÊRichmond,65,,-17,"Denver, CO"
859,2011,19-Mar-11,East,Third Round,4ÊKentucky,71,5ÊWest Virginia,63,,8,"Tampa, FL"
860,2011,19-Mar-11,Southeast,Third Round,5ÊKansas State,65,4ÊWisconsin,70,,-5,"Tucson, AZ"
861,2011,19-Mar-11,Southeast,Third Round,11ÊGonzaga,67,3ÊBrigham Young,89,,-22,"Denver, CO"
862,2011,19-Mar-11,Southeast,Third Round,2ÊFlorida,73,7ÊUCLA,65,,8,"Tampa, FL"
863,2011,19-Mar-11,West,Third Round,3ÊConnecticut,69,6ÊCincinnati,58,,11,"Washington, DC"
864,2011,19-Mar-11,West,Third Round,6ÊCincinnati,58,3ÊConnecticut,69,,-11,"Washington, DC"
865,2011,19-Mar-11,Southeast,Third Round,8ÊButler,71,1ÊPittsburgh,70,,1,"Washington, DC"
866,2011,19-Mar-11,Southeast,Third Round,3ÊBrigham Young,89,11ÊGonzaga,67,,22,"Denver, CO"
867,2011,18-Mar-11,East,Second Round,6ÊXavier,55,11ÊMarquette,66,,-11,"Cleveland, OH"
868,2011,18-Mar-11,East,Second Round,7ÊWashington,68,10ÊGeorgia,65,,3,"Charlotte, NC"
869,2011,18-Mar-11,Southwest,Second Round,11ÊVirginia Commonwealth,74,6ÊGeorgetown,56,,18,"Chicago, IL"
870,2011,18-Mar-11,East,Second Round,9ÊVillanova,57,8ÊGeorge Mason,61,,-4,"Cleveland, OH"
871,2011,18-Mar-11,East,Second Round,16ÊTexas-San Antonio,46,1ÊOhio State,75,,-29,"Cleveland, OH"
872,2011,18-Mar-11,Southwest,Second Round,7ÊTexas A&M,50,10ÊFlorida State,57,,-7,"Chicago, IL"
873,2011,18-Mar-11,West,Second Round,4ÊTexas,85,13ÊOakland,81,,4,"Tulsa, OK"
874,2011,18-Mar-11,West,Second Round,9ÊTennessee,45,8ÊMichigan,75,,-30,"Charlotte, NC"
875,2011,18-Mar-11,East,Second Round,3ÊSyracuse,77,14ÊIndiana State,60,,17,"Cleveland, OH"
876,2011,18-Mar-11,Southwest,Second Round,14ÊSaint Peter's,43,3ÊPurdue,65,,-22,"Chicago, IL"
877,2011,18-Mar-11,Southwest,Second Round,3ÊPurdue,65,14ÊSaint Peter's,43,,22,"Chicago, IL"
878,2011,18-Mar-11,East,Second Round,1ÊOhio State,75,16ÊTexas-San Antonio,46,,29,"Cleveland, OH"
879,2011,18-Mar-11,West,Second Round,13ÊOakland,81,4ÊTexas,85,,-4,"Tulsa, OK"
880,2011,18-Mar-11,Southwest,Second Round,2ÊNotre Dame,69,15ÊAkron,56,,13,"Chicago, IL"
881,2011,18-Mar-11,East,Second Round,2ÊNorth Carolina,102,15ÊLong Island University,87,,15,"Charlotte, NC"
882,2011,18-Mar-11,Southwest,Second Round,8ÊNevada-Las Vegas,62,9ÊIllinois,73,,-11,"Tulsa, OK"
883,2011,18-Mar-11,West,Second Round,8ÊMichigan,75,9ÊTennessee,45,,30,"Charlotte, NC"
884,2011,18-Mar-11,West,Second Round,12ÊMemphis,75,5ÊArizona,77,,-2,"Tulsa, OK"
885,2011,18-Mar-11,East,Second Round,11ÊMarquette,66,6ÊXavier,55,,11,"Cleveland, OH"
886,2011,18-Mar-11,East,Second Round,15ÊLong Island University,87,2ÊNorth Carolina,102,,-15,"Charlotte, NC"
887,2011,18-Mar-11,Southwest,Second Round,1ÊKansas,72,16ÊBoston University,53,,19,"Tulsa, OK"
888,2011,18-Mar-11,East,Second Round,14ÊIndiana State,60,3ÊSyracuse,77,,-17,"Cleveland, OH"
889,2011,18-Mar-11,Southwest,Second Round,9ÊIllinois,73,8ÊNevada-Las Vegas,62,,11,"Tulsa, OK"
890,2011,18-Mar-11,West,Second Round,16ÊHampton,45,1ÊDuke,87,,-42,"Charlotte, NC"
891,2011,18-Mar-11,East,Second Round,10ÊGeorgia,65,7ÊWashington,68,,-3,"Charlotte, NC"
892,2011,18-Mar-11,Southwest,Second Round,6ÊGeorgetown,56,11ÊVirginia Commonwealth,74,,-18,"Chicago, IL"
893,2011,18-Mar-11,East,Second Round,8ÊGeorge Mason,61,9ÊVillanova,57,,4,"Cleveland, OH"
894,2011,18-Mar-11,Southwest,Second Round,10ÊFlorida State,57,7ÊTexas A&M,50,,7,"Chicago, IL"
895,2011,18-Mar-11,West,Second Round,1ÊDuke,87,16ÊHampton,45,,42,"Charlotte, NC"
896,2011,18-Mar-11,Southwest,Second Round,16ÊBoston University,53,1ÊKansas,72,,-19,"Tulsa, OK"
897,2011,18-Mar-11,West,Second Round,5ÊArizona,77,12ÊMemphis,75,,2,"Tulsa, OK"
898,2011,18-Mar-11,Southwest,Second Round,15ÊAkron,56,2ÊNotre Dame,69,,-13,"Chicago, IL"
899,2011,17-Mar-11,Southeast,Second Round,14ÊWofford,66,3ÊBrigham Young,74,,-8,"Denver, CO"
900,2011,17-Mar-11,Southeast,Second Round,4ÊWisconsin,72,13ÊBelmont,58,,14,"Tucson, AZ"
