Rk,Year,Date,Region,Round,School,PTS,Opponent,PTS,OT,Diff,Location
1101,2009,22-Mar-09,Midwest,Second Round,9ÊSiena,72,1ÊLouisville,79,,-7,"Dayton, OH"
1102,2009,22-Mar-09,East,Second Round,1ÊPittsburgh,84,8ÊOklahoma State,76,,8,"Dayton, OH"
1103,2009,22-Mar-09,East,Second Round,8ÊOklahoma State,76,1ÊPittsburgh,84,,-8,"Dayton, OH"
1104,2009,22-Mar-09,West,Second Round,3ÊMissouri,83,6ÊMarquette,79,,4,"Boise, ID"
1105,2009,22-Mar-09,Midwest,Second Round,2ÊMichigan State,74,10ÊSouthern California,69,,5,"Minneapolis, MN"
1106,2009,22-Mar-09,West,Second Round,6ÊMarquette,79,3ÊMissouri,83,,-4,"Boise, ID"
1107,2009,22-Mar-09,Midwest,Second Round,1ÊLouisville,79,9ÊSiena,72,,7,"Dayton, OH"
1108,2009,22-Mar-09,Midwest,Second Round,3ÊKansas,60,11ÊDayton,43,,17,"Minneapolis, MN"
1109,2009,22-Mar-09,Midwest,Second Round,11ÊDayton,43,3ÊKansas,60,,-17,"Minneapolis, MN"
1110,2009,22-Mar-09,Midwest,Second Round,13ÊCleveland State,57,12ÊArizona,71,,-14,"Miami, FL"
1111,2009,22-Mar-09,South,Second Round,6ÊArizona State,67,3ÊSyracuse,78,,-11,"Miami, FL"
1112,2009,22-Mar-09,Midwest,Second Round,12ÊArizona,71,13ÊCleveland State,57,,14,"Miami, FL"
1113,2009,21-Mar-09,South,Second Round,12ÊWestern Kentucky,81,4ÊGonzaga,83,,-2,"Portland, OR"
1114,2009,21-Mar-09,West,Second Round,4ÊWashington,74,5ÊPurdue,76,,-2,"Portland, OR"
1115,2009,21-Mar-09,East,Second Round,3ÊVillanova,89,6ÊUCLA,69,,20,"Philadelphia, PA"
1116,2009,21-Mar-09,East,Second Round,6ÊUCLA,69,3ÊVillanova,89,,-20,"Philadelphia, PA"
1117,2009,21-Mar-09,West,Second Round,9ÊTexas A&M,66,1ÊConnecticut,92,,-26,"Philadelphia, PA"
1118,2009,21-Mar-09,East,Second Round,7ÊTexas,69,2ÊDuke,74,,-5,"Greensboro, NC"
1119,2009,21-Mar-09,West,Second Round,5ÊPurdue,76,4ÊWashington,74,,2,"Portland, OR"
1120,2009,21-Mar-09,South,Second Round,2ÊOklahoma,73,10ÊMichigan,63,,10,"Kansas City, MO"
1121,2009,21-Mar-09,South,Second Round,1ÊNorth Carolina,84,8ÊLouisiana State,70,,14,"Greensboro, NC"
1122,2009,21-Mar-09,South,Second Round,10ÊMichigan,63,2ÊOklahoma,73,,-10,"Kansas City, MO"
1123,2009,21-Mar-09,West,Second Round,2ÊMemphis,89,10ÊMaryland,70,,19,"Kansas City, MO"
1124,2009,21-Mar-09,West,Second Round,10ÊMaryland,70,2ÊMemphis,89,,-19,"Kansas City, MO"
1125,2009,21-Mar-09,South,Second Round,8ÊLouisiana State,70,1ÊNorth Carolina,84,,-14,"Greensboro, NC"
1126,2009,21-Mar-09,South,Second Round,4ÊGonzaga,83,12ÊWestern Kentucky,81,,2,"Portland, OR"
1127,2009,21-Mar-09,East,Second Round,2ÊDuke,74,7ÊTexas,69,,5,"Greensboro, NC"
1128,2009,21-Mar-09,West,Second Round,1ÊConnecticut,92,9ÊTexas A&M,66,,26,"Philadelphia, PA"
1129,2009,20-Mar-09,East,First Round,4ÊXavier,77,13ÊPortland State,59,,18,"Boise, ID"
1130,2009,20-Mar-09,East,First Round,12ÊWisconsin,61,5ÊFlorida State,59,OT,2,"Boise, ID"
1131,2009,20-Mar-09,Midwest,First Round,6ÊWest Virginia,60,11ÊDayton,68,,-8,"Minneapolis, MN"
1132,2009,20-Mar-09,Midwest,First Round,4ÊWake Forest,69,13ÊCleveland State,84,,-15,"Miami, FL"
1133,2009,20-Mar-09,West,First Round,11ÊUtah State,57,6ÊMarquette,58,,-1,"Boise, ID"
1134,2009,20-Mar-09,Midwest,First Round,5ÊUtah,71,12ÊArizona,84,,-13,"Miami, FL"
1135,2009,20-Mar-09,East,First Round,9ÊTennessee,75,8ÊOklahoma State,77,,-2,"Dayton, OH"
1136,2009,20-Mar-09,South,First Round,11ÊTemple,57,6ÊArizona State,66,,-9,"Miami, FL"
1137,2009,20-Mar-09,South,First Round,3ÊSyracuse,59,14ÊStephen F. Austin,44,,15,"Miami, FL"
1138,2009,20-Mar-09,South,First Round,14ÊStephen F. Austin,44,3ÊSyracuse,59,,-15,"Miami, FL"
1139,2009,20-Mar-09,Midwest,First Round,10ÊSouthern California,72,7ÊBoston College,55,,17,"Minneapolis, MN"
1140,2009,20-Mar-09,Midwest,First Round,9ÊSiena,74,8ÊOhio State,72,2OT,2,"Dayton, OH"
1141,2009,20-Mar-09,Midwest,First Round,15ÊRobert Morris,62,2ÊMichigan State,77,,-15,"Minneapolis, MN"
1142,2009,20-Mar-09,East,First Round,13ÊPortland State,59,4ÊXavier,77,,-18,"Boise, ID"
1143,2009,20-Mar-09,East,First Round,1ÊPittsburgh,72,16ÊEast Tennessee State,62,,10,"Dayton, OH"
1144,2009,20-Mar-09,East,First Round,8ÊOklahoma State,77,9ÊTennessee,75,,2,"Dayton, OH"
1145,2009,20-Mar-09,Midwest,First Round,8ÊOhio State,72,9ÊSiena,74,2OT,-2,"Dayton, OH"
