Rk,Year,Date,Region,Round,School,PTS,Opponent,PTS,OT,Diff,Location
1001,2010,19-Mar-10,West,First Round,6ÊXavier,65,11ÊMinnesota,54,,11,"Milwaukee, WI"
1002,2010,19-Mar-10,East,First Round,13ÊWofford,49,4ÊWisconsin,53,,-4,"Jacksonville, FL"
1003,2010,19-Mar-10,East,First Round,4ÊWisconsin,53,13ÊWofford,49,,4,"Jacksonville, FL"
1004,2010,19-Mar-10,East,First Round,2ÊWest Virginia,77,15ÊMorgan State,50,,27,"Buffalo, NY"
1005,2010,19-Mar-10,West,First Round,16ÊVermont,56,1ÊSyracuse,79,,-23,"Buffalo, NY"
1006,2010,19-Mar-10,South,First Round,12ÊUtah State,53,5ÊTexas A&M,69,,-16,"Spokane, WA"
1007,2010,19-Mar-10,South,First Round,5ÊTexas A&M,69,12ÊUtah State,53,,16,"Spokane, WA"
1008,2010,19-Mar-10,East,First Round,5ÊTemple,65,12ÊCornell,78,,-13,"Jacksonville, FL"
1009,2010,19-Mar-10,West,First Round,1ÊSyracuse,79,16ÊVermont,56,,23,"Buffalo, NY"
1010,2010,19-Mar-10,South,First Round,13ÊSiena,64,4ÊPurdue,72,,-8,"Spokane, WA"
1011,2010,19-Mar-10,South,First Round,4ÊPurdue,72,13ÊSiena,64,,8,"Spokane, WA"
1012,2010,19-Mar-10,West,First Round,3ÊPittsburgh,89,14ÊOakland,66,,23,"Milwaukee, WI"
1013,2010,19-Mar-10,Midwest,First Round,7ÊOklahoma State,59,10ÊGeorgia Tech,64,,-5,"Milwaukee, WI"
1014,2010,19-Mar-10,Midwest,First Round,2ÊOhio State,68,15ÊCalifornia-Santa Barbara,51,,17,"Milwaukee, WI"
1015,2010,19-Mar-10,West,First Round,14ÊOakland,66,3ÊPittsburgh,89,,-23,"Milwaukee, WI"
1016,2010,19-Mar-10,Midwest,First Round,12ÊNew Mexico State,67,5ÊMichigan State,70,,-3,"Spokane, WA"
1017,2010,19-Mar-10,East,First Round,15ÊMorgan State,50,2ÊWest Virginia,77,,-27,"Buffalo, NY"
1018,2010,19-Mar-10,East,First Round,10ÊMissouri,86,7ÊClemson,78,,8,"Buffalo, NY"
1019,2010,19-Mar-10,West,First Round,11ÊMinnesota,54,6ÊXavier,65,,-11,"Milwaukee, WI"
1020,2010,19-Mar-10,Midwest,First Round,5ÊMichigan State,70,12ÊNew Mexico State,67,,3,"Spokane, WA"
1021,2010,19-Mar-10,Midwest,First Round,4ÊMaryland,89,13ÊHouston,77,,12,"Spokane, WA"
1022,2010,19-Mar-10,South,First Round,9ÊLouisville,62,8ÊCalifornia,77,,-15,"Jacksonville, FL"
1023,2010,19-Mar-10,Midwest,First Round,13ÊHouston,77,4ÊMaryland,89,,-12,"Spokane, WA"
1024,2010,19-Mar-10,West,First Round,8ÊGonzaga,67,9ÊFlorida State,60,,7,"Buffalo, NY"
1025,2010,19-Mar-10,Midwest,First Round,10ÊGeorgia Tech,64,7ÊOklahoma State,59,,5,"Milwaukee, WI"
1026,2010,19-Mar-10,West,First Round,9ÊFlorida State,60,8ÊGonzaga,67,,-7,"Buffalo, NY"
1027,2010,19-Mar-10,South,First Round,1ÊDuke,73,16ÊArkansas-Pine Bluff,44,,29,"Jacksonville, FL"
1028,2010,19-Mar-10,East,First Round,12ÊCornell,78,5ÊTemple,65,,13,"Jacksonville, FL"
1029,2010,19-Mar-10,East,First Round,7ÊClemson,78,10ÊMissouri,86,,-8,"Buffalo, NY"
1030,2010,19-Mar-10,Midwest,First Round,15ÊCalifornia-Santa Barbara,51,2ÊOhio State,68,,-17,"Milwaukee, WI"
1031,2010,19-Mar-10,South,First Round,8ÊCalifornia,77,9ÊLouisville,62,,15,"Jacksonville, FL"
1032,2010,19-Mar-10,South,First Round,16ÊArkansas-Pine Bluff,44,1ÊDuke,73,,-29,"Jacksonville, FL"
1033,2010,18-Mar-10,East,First Round,11ÊWashington,80,6ÊMarquette,78,,2,"San Jose, CA"
1034,2010,18-Mar-10,East,First Round,9ÊWake Forest,81,8ÊTexas,80,OT,1,"New Orleans, LA"
1035,2010,18-Mar-10,South,First Round,2ÊVillanova,73,15ÊRobert Morris,70,OT,3,"Providence, RI"
1036,2010,18-Mar-10,West,First Round,4ÊVanderbilt,65,13ÊMurray State,66,,-1,"San Jose, CA"
1037,2010,18-Mar-10,West,First Round,12ÊTexas-El Paso,59,5ÊButler,77,,-18,"San Jose, CA"
1038,2010,18-Mar-10,East,First Round,8ÊTexas,80,9ÊWake Forest,81,OT,-1,"New Orleans, LA"
1039,2010,18-Mar-10,Midwest,First Round,6ÊTennessee,62,11ÊSan Diego State,59,,3,"Providence, RI"
1040,2010,18-Mar-10,Midwest,First Round,11ÊSan Diego State,59,6ÊTennessee,62,,-3,"Providence, RI"
1041,2010,18-Mar-10,South,First Round,14ÊSam Houston State,59,3ÊBaylor,68,,-9,"New Orleans, LA"
1042,2010,18-Mar-10,South,First Round,10ÊSaint Mary's (CA),80,7ÊRichmond,71,,9,"Providence, RI"
1043,2010,18-Mar-10,South,First Round,15ÊRobert Morris,70,2ÊVillanova,73,OT,-3,"Providence, RI"
1044,2010,18-Mar-10,South,First Round,7ÊRichmond,71,10ÊSaint Mary's (CA),80,,-9,"Providence, RI"
1045,2010,18-Mar-10,South,First Round,11ÊOld Dominion,51,6ÊNotre Dame,50,,1,"New Orleans, LA"
1046,2010,18-Mar-10,Midwest,First Round,14ÊOhio,97,3ÊGeorgetown,83,,14,"Providence, RI"
1047,2010,18-Mar-10,South,First Round,6ÊNotre Dame,50,11ÊOld Dominion,51,,-1,"New Orleans, LA"
1048,2010,18-Mar-10,Midwest,First Round,9ÊNorthern Iowa,69,8ÊNevada-Las Vegas,66,,3,"Oklahoma City, OK"
1049,2010,18-Mar-10,West,First Round,15ÊNorth Texas,62,2ÊKansas State,82,,-20,"Oklahoma City, OK"
1050,2010,18-Mar-10,East,First Round,3ÊNew Mexico,62,14ÊMontana,57,,5,"San Jose, CA"
1051,2010,18-Mar-10,Midwest,First Round,8ÊNevada-Las Vegas,66,9ÊNorthern Iowa,69,,-3,"Oklahoma City, OK"
1052,2010,18-Mar-10,West,First Round,13ÊMurray State,66,4ÊVanderbilt,65,,1,"San Jose, CA"
1053,2010,18-Mar-10,East,First Round,14ÊMontana,57,3ÊNew Mexico,62,,-5,"San Jose, CA"
1054,2010,18-Mar-10,East,First Round,6ÊMarquette,78,11ÊWashington,80,,-2,"San Jose, CA"
1055,2010,18-Mar-10,Midwest,First Round,16ÊLehigh,74,1ÊKansas,90,,-16,"Oklahoma City, OK"
1056,2010,18-Mar-10,East,First Round,1ÊKentucky,100,16ÊEast Tennessee State,71,,29,"New Orleans, LA"
1057,2010,18-Mar-10,West,First Round,2ÊKansas State,82,15ÊNorth Texas,62,,20,"Oklahoma City, OK"
